# MIN-MAX  - dataset:out.actor-movie n:127823 m:383640
# p , k-1 ,  total time 
2,73394,2057

# MIN-MAX  - dataset:out.actor-movie-swap.txt n:383640 m:127823
# p , k-1 ,  total time 
2,80985,2407

# MIN-MAX  - dataset:out.dblp-author n:1953085 m:5624219
# p , k-1 ,  total time 
2,1016797,37019

# MIN-MAX  - dataset:out.dblp-author-swap.txt n:5623931 m:1953085
# p , k-1 ,  total time 
2,764050,40269

# MIN-MAX  - dataset:out.dbpedia-location n:172091 m:53407
# p , k-1 ,  total time 
2,8416,502

# MIN-MAX  - dataset:out.dbpedia-location-swap.txt n:53407 m:172091
# p , k-1 ,  total time 
2,19729,391

# MIN-MAX  - dataset:out.dbpedia-team n:901166 m:34461
# p , k-1 ,  total time 
2,13742,2735

# MIN-MAX  - dataset:out.dbpedia-team-swap.txt n:34461 m:901166
# p , k-1 ,  total time 
2,44275,1863

# MIN-MAX  - dataset:out.github n:56519 m:120867
# p , k-1 ,  total time 
2,15035,550

# MIN-MAX  - dataset:out.github-swap.txt n:120867 m:56519
# p , k-1 ,  total time 
2,17193,603

# MIN-MAX  - dataset:wiki_new.txt n:4566 m:4131
# p , k-1 ,  total time 
2,2730,102

# MIN-MAX  - dataset:wiki_new.txt-swap.txt n:4131 m:4566
# p , k-1 ,  total time 
2,4309,93

4,160818,2740

4,177231,3293

4,1919181,54203

4,1456954,53541

4,16300,610

4,38508,488

4,31679,3272

4,83447,2541

4,32629,707

4,32854,790

4,7142,136

4,9997,147

8,264267,4104

8,293465,4646

8,2742399,79313

8,2101843,78335

8,24017,759

8,54938,660

8,57449,4116

8,141358,3698

8,53656,964

8,57261,1053

8,13492,201

8,21999,189

16,382957,6433

16,436143,6918

16,3367615,125244

16,2818442,121861

16,33331,1043

16,65675,959

16,99736,5830

16,199434,5348

16,76769,1413

16,90673,1474

16,22531,312

16,35289,283

32,542081,9292

32,629978,10602

32,4084769,175096

32,3875157,176367

32,49028,1456

32,77867,1275

32,178071,8519

32,285727,6887

32,113680,1980

32,134968,2099

32,35737,391

32,51040,428

64,740221,10840

64,927222,12960

64,5207652,178466

64,5909727,188559

64,83604,1763

64,93924,1593

64,333003,11256

64,380541,7431

64,163753,2283

64,212948,2601

64,53869,458

64,74143,449

