parameters:
dataset:../data/wiki_new.txt	n:4567	m:4132
logFile:./cmd-fun-result.txt
save partitionFile:None
1 0 4567
2 1 4566
3 3644 4565
4 3643 4564
5 4280 4563
6 1380 4562
7 701 4561
8 2505 4560
9 2531 4559
10 698 4558
11 4284 4557
12 1243 4556
13 2498 4555
14 2497 4554
15 2509 4553
16 2499 4552
17 2129 4551
18 2427 4550
19 1682 4549
20 341 4548
21 2855 4547
22 4268 4546
23 1213 4545
24 3623 4544
25 4243 4543
26 850 4542
27 2585 4541
28 2172 4540
29 129 4539
30 1175 4538
31 3909 4537
32 4552 4536
33 3783 4535
34 725 4534
35 2508 4533
36 422 4532
37 3564 4531
38 166 4530
39 2325 4529
40 1415 4528
41 1428 4527
42 3748 4526
43 3652 4525
44 332 4524
45 378 4523
46 3683 4522
47 1689 4521
48 25 4520
49 1077 4519
50 1434 4518
51 3986 4517
52 1384 4516
53 694 4515
54 2807 4514
55 1717 4513
56 358 4512
57 996 4511
58 1984 4510
59 2608 4509
60 2458 4508
61 2020 4507
62 928 4506
63 1962 4505
64 40 4504
65 4283 4503
66 3056 4502
67 2947 4501
68 4527 4500
69 1788 4499
70 3150 4498
71 2544 4497
72 2174 4496
73 1292 4495
74 4410 4494
75 140 4493
76 1403 4492
77 2486 4491
78 3792 4490
79 1974 4489
80 3304 4488
81 540 4487
82 244 4486
83 2139 4485
84 3604 4484
85 2920 4483
86 4503 4482
87 1361 4481
88 2502 4480
89 3557 4479
90 2450 4478
91 2412 4477
92 2418 4476
93 3495 4475
94 3744 4474
95 3793 4473
96 3216 4472
97 3954 4471
98 1276 4470
99 3956 4469
100 2794 4468
101 16 4467
102 3201 4466
103 894 4465
104 2221 4464
105 3187 4463
106 4157 4462
107 18 4461
108 20 4460
109 3478 4459
110 374 4458
111 1948 4457
112 1745 4456
113 3235 4455
114 2900 4454
115 3532 4453
116 3583 4452
117 2754 4451
118 2763 4450
119 1971 4449
120 39 4448
121 3105 4447
122 3818 4446
123 2623 4445
124 1679 4444
125 243 4443
126 1592 4442
127 175 4441
128 2165 4440
129 168 4439
130 1011 4438
131 4364 4437
132 3125 4436
133 3566 4435
134 3126 4434
135 3003 4433
136 394 4432
137 684 4431
138 4034 4430
139 3906 4429
140 734 4428
141 2818 4427
142 2491 4426
143 593 4425
144 2178 4424
145 1563 4423
146 2669 4422
147 2093 4421
148 1308 4420
149 3696 4419
150 2765 4418
151 4525 4417
152 2956 4416
153 3822 4415
154 3287 4414
155 2095 4413
156 1718 4412
157 1959 4411
158 123 4410
159 4526 4409
160 2239 4408
161 2123 4407
162 4054 4406
163 3975 4405
164 4440 4404
165 2925 4403
166 3927 4402
167 2587 4401
168 1302 4400
169 563 4399
170 1975 4398
171 3234 4397
172 4228 4396
173 3918 4395
174 1729 4394
175 1505 4393
176 1550 4392
177 3207 4391
178 348 4390
179 3192 4389
180 2500 4388
181 3193 4387
182 210 4386
183 4144 4385
184 1883 4384
185 1949 4383
186 242 4382
187 2741 4381
188 2820 4380
189 2144 4379
190 2148 4378
191 3803 4377
192 1577 4376
193 2716 4375
194 2414 4374
195 3461 4373
196 2023 4372
197 2643 4371
198 2425 4370
199 792 4369
200 891 4368
201 3155 4367
202 3282 4366
203 4403 4365
204 768 4364
205 2753 4363
206 2928 4362
207 487 4361
208 567 4360
209 799 4359
210 1378 4358
211 3996 4357
212 2761 4356
213 2954 4355
214 2976 4354
215 3547 4353
216 2131 4352
217 2292 4351
218 2318 4350
219 1686 4349
220 923 4348
221 3997 4347
222 2682 4346
223 962 4345
224 1982 4344
225 2242 4343
226 1327 4342
227 2025 4341
228 367 4340
229 3860 4339
230 2160 4338
231 3400 4337
232 3982 4336
233 1979 4335
234 2725 4334
235 1090 4333
236 2261 4332
237 576 4331
238 3333 4330
239 1532 4329
240 1190 4328
241 1042 4327
242 1035 4326
243 3765 4325
244 1442 4324
245 4336 4323
246 1657 4322
247 376 4321
248 241 4320
249 946 4319
250 3252 4318
251 3968 4317
252 868 4316
253 128 4315
254 2656 4314
255 645 4313
256 3529 4312
257 2729 4311
258 699 4310
259 3454 4309
260 3016 4308
261 2999 4307
262 147 4306
263 1997 4305
264 3197 4304
265 2290 4303
266 33 4302
267 2061 4301
268 2834 4300
269 2839 4299
270 2482 4298
271 2922 4297
272 1652 4296
273 2484 4295
274 150 4294
275 2460 4293
276 1970 4292
277 1790 4291
278 2739 4290
279 1662 4289
280 284 4288
281 1207 4287
282 2240 4286
283 3519 4285
284 2236 4284
285 685 4283
286 3799 4282
287 3719 4281
288 306 4280
289 3289 4279
290 230 4278
291 2994 4277
292 2780 4276
293 4093 4275
294 866 4274
295 2481 4273
296 4168 4272
297 1467 4271
298 856 4270
299 1473 4269
300 312 4268
301 692 4267
302 4441 4266
303 4233 4265
304 2110 4264
305 1148 4263
306 2151 4262
307 2332 4261
308 697 4260
309 3667 4259
310 2712 4258
311 4500 4257
312 107 4256
313 2838 4255
314 3733 4254
315 3575 4253
316 2959 4252
317 2553 4251
318 544 4250
319 3923 4249
320 13 4248
321 3560 4247
322 451 4246
323 2453 4245
324 4088 4244
325 3279 4243
326 2764 4242
327 3848 4241
328 3804 4240
329 2490 4239
330 3013 4238
331 2487 4237
332 4382 4236
333 3520 4235
334 924 4234
335 1845 4233
336 3276 4232
337 2503 4231
338 1297 4230
339 1834 4229
340 2866 4228
341 3018 4227
342 2303 4226
343 3780 4225
344 2475 4224
345 2730 4223
346 4366 4222
347 4400 4221
348 3033 4220
349 1544 4219
350 586 4218
351 1963 4217
352 3485 4216
353 1362 4215
354 1097 4214
355 2781 4213
356 1063 4212
357 3315 4211
358 3664 4210
359 1731 4209
360 998 4208
361 3326 4207
362 603 4206
363 2140 4205
364 2726 4204
365 3969 4203
366 3154 4202
367 4350 4201
368 183 4200
369 3977 4199
370 2868 4198
371 3791 4197
372 264 4196
373 1905 4195
374 542 4194
375 4269 4193
376 3250 4192
377 3678 4191
378 2175 4190
379 1064 4189
380 380 4188
381 793 4187
382 4312 4186
383 2489 4185
384 1973 4184
385 1943 4183
386 1848 4182
387 2457 4181
388 3603 4180
389 2628 4179
390 1186 4178
391 167 4177
392 2779 4176
393 4491 4175
394 2104 4174
395 390 4173
396 2100 4172
397 1289 4171
398 2887 4170
399 2002 4169
400 3167 4168
401 4028 4167
402 466 4166
403 3364 4165
404 1727 4164
405 2337 4163
406 4347 4162
407 2609 4161
408 3966 4160
409 1621 4159
410 590 4158
411 2863 4157
412 3472 4156
413 678 4155
414 1706 4154
415 3728 4153
416 1451 4152
417 8 4151
418 1024 4150
419 3522 4149
420 966 4148
421 873 4147
422 4189 4146
423 1098 4145
424 535 4144
425 800 4143
426 1058 4142
427 3459 4141
428 371 4140
429 1594 4139
430 4345 4138
431 1942 4137
432 1108 4136
433 2051 4135
434 1410 4134
435 1162 4133
436 4348 4132
437 2449 4131
438 2187 4130
439 297 4129
440 3914 4128
441 4334 4127
442 3460 4126
443 309 4125
444 2142 4124
445 455 4123
446 3028 4122
447 2766 4121
448 4263 4120
449 1947 4119
450 2141 4118
451 1160 4117
452 721 4116
453 3087 4115
454 4556 4114
455 1515 4113
456 4251 4112
457 1819 4111
458 3313 4110
459 2205 4109
460 3724 4108
461 2075 4107
462 1832 4106
463 3805 4105
464 2978 4104
465 1954 4103
466 687 4102
467 1667 4101
468 3319 4100
469 575 4099
470 1964 4098
471 34 4097
472 689 4096
473 219 4095
474 659 4094
475 1318 4093
476 1066 4092
477 2678 4091
478 4286 4090
479 4021 4089
480 2762 4088
481 732 4087
482 126 4086
483 1887 4085
484 1294 4084
485 4259 4083
486 2253 4082
487 1364 4081
488 717 4080
489 461 4079
490 2930 4078
491 887 4077
492 3798 4076
493 810 4075
494 2989 4074
495 1862 4073
496 3303 4072
497 1977 4071
498 188 4070
499 859 4069
500 854 4068
501 2806 4067
502 2168 4066
503 571 4065
504 4516 4064
505 3576 4063
506 3518 4062
507 4207 4061
508 907 4060
509 1282 4059
510 3384 4058
511 423 4057
512 1960 4056
513 226 4055
514 3388 4054
515 4170 4053
516 4110 4052
517 2440 4051
518 3032 4050
519 714 4049
520 214 4048
521 448 4047
522 1156 4046
523 3146 4045
524 382 4044
525 1707 4043
526 4391 4042
527 3875 4041
528 3115 4040
529 9 4039
530 3467 4038
531 1506 4037
532 4423 4036
533 2731 4035
