# dataset:github.txt
# p sheild sheild% k-1 runtime(ms)
2 0 0 27351 266
2 1 3.30934e-05 27351 303
2 2 0.686978 16085 309
2 3 0.820237 11122 343
2 5 0.902714 6974 377
2 7 0.932986 5195 388
2 11 0.959039 3510 416
2 17 0.973757 2460 438
2 26 0.982643 1980 457
2 38 0.988285 2535 494
2 58 0.992223 3124 506
2 83 0.994837 3406 532
2 114 0.996567 3616 555
2 155 0.997675 3785 607
2 203 0.998469 3827 589
2 268 0.998974 3888 620
2 353 0.999322 3947 650
2 470 0.999545 3924 639
2 549 0.999694 3856 688
2 673 0.999793 3873 663
2 781 0.999859 3905 699
2 990 0.999909 3972 687
2 1136 0.999934 4016 716
2 1438 0.999959 4024 725
2 1565 0.999967 4055 680
2 1611 0.999975 4061 715
2 1929 0.999983 4074 698
4 0 0 38807 287
4 1 3.30934e-05 38807 278
4 2 0.686978 30190 329
4 3 0.820237 19642 352
4 5 0.902714 18362 355
4 7 0.932986 17058 379
4 11 0.959039 15284 403
4 17 0.973757 13953 436
4 26 0.982643 13510 466
4 38 0.988285 13224 492
4 58 0.992223 12756 545
4 83 0.994837 12473 580
4 114 0.996567 12305 615
4 155 0.997675 12225 653
4 203 0.998469 12294 609
4 268 0.998974 12254 642
4 353 0.999322 12253 672
4 470 0.999545 12246 671
4 549 0.999694 12225 683
4 673 0.999793 12243 708
4 781 0.999859 12277 689
4 990 0.999909 12383 718
4 1136 0.999934 12593 717
4 1438 0.999959 12647 736
4 1565 0.999967 12697 734
4 1611 0.999975 12752 719
4 1929 0.999983 12790 737
8 0 0 57761 288
8 1 3.30934e-05 57761 304
8 2 0.686978 46277 317
8 3 0.820237 42029 347
8 5 0.902714 36263 373
8 7 0.932986 33553 395
8 11 0.959039 30404 424
8 17 0.973757 27530 456
8 26 0.982643 26505 488
8 38 0.988285 25451 517
8 58 0.992223 24786 552
8 83 0.994837 24495 601
8 114 0.996567 24287 614
8 155 0.997675 24163 647
8 203 0.998469 24198 676
8 268 0.998974 24421 708
8 353 0.999322 24499 702
8 470 0.999545 24656 748
8 549 0.999694 24900 742
8 673 0.999793 24925 769
8 781 0.999859 25012 786
8 990 0.999909 25174 805
8 1136 0.999934 25284 788
8 1438 0.999959 25424 802
8 1565 0.999967 25490 808
8 1611 0.999975 25584 819
8 1929 0.999983 25592 820
16 0 0 82326 282
16 1 3.30934e-05 82326 292
16 2 0.686978 74208 320
16 3 0.820237 65507 340
16 5 0.902714 57613 381
16 7 0.932986 53844 400
16 11 0.959039 49020 426
16 17 0.973757 45055 467
16 26 0.982643 43162 500
16 38 0.988285 41414 545
16 58 0.992223 40330 594
16 83 0.994837 39827 652
16 114 0.996567 39407 679
16 155 0.997675 39161 738
16 203 0.998469 39300 755
16 268 0.998974 39377 795
16 353 0.999322 39462 818
16 470 0.999545 39674 864
16 549 0.999694 39770 889
16 673 0.999793 40004 916
16 781 0.999859 40253 931
16 990 0.999909 40343 943
16 1136 0.999934 40578 966
16 1438 0.999959 40666 974
16 1565 0.999967 40751 970
16 1611 0.999975 40807 976
16 1929 0.999983 40883 986
32 0 0 110248 293
32 1 3.30934e-05 110248 296
32 2 0.686978 102915 316
32 3 0.820237 92184 335
32 5 0.902714 82506 366
32 7 0.932986 77186 394
32 11 0.959039 70687 433
32 17 0.973757 66393 484
32 26 0.982643 62669 535
32 38 0.988285 60429 590
32 58 0.992223 58464 669
32 83 0.994837 57247 710
32 114 0.996567 56707 802
32 155 0.997675 56110 863
32 203 0.998469 55954 918
32 268 0.998974 55827 971
32 353 0.999322 55818 1034
32 470 0.999545 56063 1060
32 549 0.999694 56106 1113
32 673 0.999793 56301 1145
32 781 0.999859 56572 1162
32 990 0.999909 56828 1205
32 1136 0.999934 56621 1229
32 1438 0.999959 57011 1233
32 1565 0.999967 57259 1244
32 1611 0.999975 57304 1262
32 1929 0.999983 57220 1262
64 0 0 140919 287
64 1 3.30934e-05 140919 296
64 2 0.686978 129791 321
64 3 0.820237 120894 334
64 5 0.902714 109208 366
64 7 0.932986 103344 393
64 11 0.959039 96294 441
64 17 0.973757 89303 504
64 26 0.982643 85209 574
64 38 0.988285 80511 665
64 58 0.992223 78439 734
64 83 0.994837 76089 845
64 114 0.996567 75095 962
64 155 0.997675 74466 1069
64 203 0.998469 73606 1160
64 268 0.998974 73519 1248
64 353 0.999322 73075 1317
64 470 0.999545 72789 1414
64 549 0.999694 73208 1457
64 673 0.999793 73148 1498
64 781 0.999859 73247 1557
64 990 0.999909 73367 1616
64 1136 0.999934 73351 1647
64 1438 0.999959 73744 1681
64 1565 0.999967 73883 1731
64 1611 0.999975 74043 1856
64 1929 0.999983 73950 1974
