# dataset:out.actor-movie
# p sheild sheild% k-1 runtime(ms)
2 0 0 87650 749
2 1 2.6066e-06 87650 781
2 2 0.637252 57717 960
2 3 0.759538 51777 1049
2 5 0.849643 46953 1186
2 8 0.902179 47574 1335
2 13 0.939631 47487 1534
2 19 0.960609 46322 1713
2 26 0.973587 49682 1859
2 34 0.982184 50372 1994
2 44 0.988356 52682 2139
2 55 0.992217 54202 2247
2 67 0.994782 55382 2332
2 81 0.996484 55840 2399
2 96 0.99767 56792 2458
2 112 0.998441 57688 2527
2 131 0.998968 58073 2544
2 148 0.999309 58110 2576
2 167 0.999544 58137 2587
2 183 0.99969 58127 2594
2 199 0.999794 58208 2609
2 225 0.999864 58334 2613
2 244 0.999906 58578 2639
2 258 0.999937 58725 2635
2 289 0.999958 58718 2637
2 333 0.999971 58785 2639
2 410 0.999982 58971 2638
2 424 0.999987 59034 2637
2 429 0.99999 59055 2642
2 479 0.999992 59104 2656
2 515 0.999995 59215 2682
4 0 0 161199 779
4 1 2.6066e-06 161199 816
4 2 0.637252 131594 994
4 3 0.759538 128200 1065
4 5 0.849643 124251 1212
4 8 0.902179 109758 1374
4 13 0.939631 113024 1614
4 19 0.960609 101280 1807
4 26 0.973587 112060 2039
4 34 0.982184 112312 2222
4 44 0.988356 115024 2397
4 55 0.992217 111471 2534
4 67 0.994782 116965 2713
4 81 0.996484 120136 2816
4 96 0.99767 118832 2914
4 112 0.998441 117148 2954
4 131 0.998968 117747 3057
4 148 0.999309 119640 3095
4 167 0.999544 120579 3134
4 183 0.99969 120317 3089
4 199 0.999794 121884 3122
4 225 0.999864 122509 3149
4 244 0.999906 123170 3182
4 258 0.999937 121183 3221
4 289 0.999958 122548 3180
4 333 0.999971 121041 3142
4 410 0.999982 121979 3163
4 424 0.999987 121315 3150
4 429 0.99999 122734 3191
4 479 0.999992 122773 3238
4 515 0.999995 122300 3227
8 0 0 249392 849
8 1 2.6066e-06 249392 881
8 2 0.637252 229625 1035
8 3 0.759538 197993 1110
8 5 0.849643 194161 1250
8 8 0.902179 170690 1436
8 13 0.939631 157291 1672
8 19 0.960609 155892 1908
8 26 0.973587 153919 2150
8 34 0.982184 155517 2412
8 44 0.988356 160918 2693
8 55 0.992217 155579 2829
8 67 0.994782 163570 3074
8 81 0.996484 151483 3115
8 96 0.99767 157765 3353
8 112 0.998441 156939 3414
8 131 0.998968 158557 3504
8 148 0.999309 162430 3598
8 167 0.999544 162633 3673
8 183 0.99969 159745 3672
8 199 0.999794 161142 3699
8 225 0.999864 163360 3752
8 244 0.999906 161255 3716
8 258 0.999937 164861 3744
8 289 0.999958 162828 3670
8 333 0.999971 163064 3672
8 410 0.999982 164861 3661
8 424 0.999987 162678 3683
8 429 0.99999 163564 3681
8 479 0.999992 163145 3666
8 515 0.999995 162845 3665
16 0 0 360747 868
16 1 2.6066e-06 360747 896
16 2 0.637252 339611 1042
16 3 0.759538 319403 1114
16 5 0.849643 281396 1274
16 8 0.902179 271615 1480
16 13 0.939631 240682 1745
16 19 0.960609 223142 2006
16 26 0.973587 218535 2319
16 34 0.982184 211026 2635
16 44 0.988356 207992 2933
16 55 0.992217 201014 3175
16 67 0.994782 203492 3426
16 81 0.996484 202989 3555
16 96 0.99767 201024 3743
16 112 0.998441 200262 3853
16 131 0.998968 199087 3930
16 148 0.999309 205128 4024
16 167 0.999544 206307 4166
16 183 0.99969 208513 4214
16 199 0.999794 207193 4251
16 225 0.999864 211410 4290
16 244 0.999906 211900 4265
16 258 0.999937 212097 4248
16 289 0.999958 214256 4294
16 333 0.999971 208290 4261
16 410 0.999982 210407 4281
16 424 0.999987 210990 4298
16 429 0.99999 212421 4318
16 479 0.999992 211779 4282
16 515 0.999995 210464 4336
32 0 0 483284 915
32 1 2.6066e-06 483284 902
32 2 0.637252 466673 1046
32 3 0.759538 444501 1122
32 5 0.849643 394999 1253
32 8 0.902179 352318 1443
32 13 0.939631 311403 1728
32 19 0.960609 278556 2018
32 26 0.973587 273181 2426
32 34 0.982184 254828 2722
32 44 0.988356 250026 3049
32 55 0.992217 247390 3417
32 67 0.994782 242662 3731
32 81 0.996484 244309 3959
32 96 0.99767 245104 4163
32 112 0.998441 241054 4303
32 131 0.998968 240615 4441
32 148 0.999309 242083 4509
32 167 0.999544 250226 4688
32 183 0.99969 247477 4715
32 199 0.999794 247112 4733
32 225 0.999864 243779 4740
32 244 0.999906 245118 4743
32 258 0.999937 246263 4732
32 289 0.999958 246756 4754
32 333 0.999971 246380 4900
32 410 0.999982 244430 4927
32 424 0.999987 242741 4989
32 429 0.99999 244419 4931
32 479 0.999992 253571 5101
32 515 0.999995 247495 4985
64 0 0 601006 913
64 1 2.6066e-06 601006 950
64 2 0.637252 586176 1098
64 3 0.759538 559532 1172
64 5 0.849643 485016 1281
64 8 0.902179 441889 1494
64 13 0.939631 410439 1862
64 19 0.960609 359904 2212
64 26 0.973587 342438 2636
64 34 0.982184 323694 3074
64 44 0.988356 311151 3493
64 55 0.992217 303588 3962
64 67 0.994782 302702 4337
64 81 0.996484 299423 4677
64 96 0.99767 294735 5007
64 112 0.998441 292639 5193
64 131 0.998968 295861 5386
64 148 0.999309 296375 5577
64 167 0.999544 295607 5665
64 183 0.99969 295324 5672
64 199 0.999794 294250 5625
64 225 0.999864 298641 5845
64 244 0.999906 298753 5884
64 258 0.999937 291998 5770
64 289 0.999958 293656 5730
64 333 0.999971 294882 5709
64 410 0.999982 298911 5718
64 424 0.999987 296683 5739
64 429 0.99999 300999 5899
64 479 0.999992 301375 5897
64 515 0.999995 299880 5849
