# dataset:out.dblp-author
# p sheild sheild% k-1 runtime(ms)
2 0 0 1675045 12215
2 1 1.77802e-07 1675045 13178
2 2 0.472529 1031513 15644
2 3 0.672378 516605 18633
2 4 0.831958 462022 20877
2 5 0.922484 455342 22169
2 6 0.964238 449945 22841
2 7 0.982593 449274 23394
2 8 0.990461 449587 23618
2 9 0.994359 450085 23801
2 10 0.996419 430934 23980
2 11 0.997613 433014 23844
2 12 0.998302 434393 23868
2 13 0.998754 435807 23915
2 15 0.999262 437656 23981
2 17 0.999534 438831 24184
2 19 0.999675 439469 24151
2 21 0.99977 439912 24184
2 24 0.999852 440544 24148
2 27 0.999902 440925 24157
2 30 0.999937 441109 24149
2 34 0.999958 441480 24126
2 38 0.999973 441704 24276
2 43 0.999982 441811 24168
2 50 0.999988 441946 24176
2 57 0.999992 442066 24161
2 64 0.999995 442129 24222
2 73 0.999996 442237 24186
2 90 0.999998 442219 24225
2 96 0.999998 442245 24187
2 112 0.999999 442307 24205
2 139 0.999999 442309 24223
2 263 0.999999 442330 24174
2 282 1 442370 24156
4 0 0 2316066 12779
4 1 1.77802e-07 2316066 13453
4 2 0.472529 1584079 15818
4 3 0.672378 1148084 18705
4 4 0.831958 997548 21115
4 5 0.922484 932164 22540
4 6 0.964238 884752 23454
4 7 0.982593 878933 24016
4 8 0.990461 878572 24399
4 9 0.994359 879068 24837
4 10 0.996419 879424 25012
4 11 0.997613 880016 24940
4 12 0.998302 880752 24853
4 13 0.998754 880851 24957
4 15 0.999262 881517 24987
4 17 0.999534 881939 25363
4 19 0.999675 882205 25194
4 21 0.99977 882495 25235
4 24 0.999852 883014 25253
4 27 0.999902 883294 25129
4 30 0.999937 883631 25290
4 34 0.999958 883790 25278
4 38 0.999973 883951 25273
4 43 0.999982 884074 25326
4 50 0.999988 884158 25126
4 57 0.999992 884283 25178
4 64 0.999995 884291 25380
4 73 0.999996 884294 25410
4 90 0.999998 884305 25375
4 96 0.999998 884349 25409
4 112 0.999999 884347 25427
4 139 0.999999 884377 25416
4 263 0.999999 884412 25375
4 282 1 884410 25372
8 0 0 2991957 13122
8 1 1.77802e-07 2991957 13680
8 2 0.472529 2295162 16293
8 3 0.672378 1725063 19161
8 4 0.831958 1498242 21989
8 5 0.922484 1406011 23719
8 6 0.964238 1360213 24600
8 7 0.982593 1339542 25183
8 8 0.990461 1335392 25526
8 9 0.994359 1331796 25750
8 10 0.996419 1329827 25887
8 11 0.997613 1329277 26443
8 12 0.998302 1329501 28215
8 13 0.998754 1327917 29075
8 15 0.999262 1328966 28023
8 17 0.999534 1329899 29319
8 19 0.999675 1329278 28190
8 21 0.99977 1329506 26473
8 24 0.999852 1330328 27640
8 27 0.999902 1328799 27076
8 30 0.999937 1329348 27793
8 34 0.999958 1329546 27894
8 38 0.999973 1328940 27957
8 43 0.999982 1330761 28162
8 50 0.999988 1329835 28270
8 57 0.999992 1330062 28594
8 64 0.999995 1330251 28418
8 73 0.999996 1330417 27867
8 90 0.999998 1330612 28311
8 96 0.999998 1330436 29623
8 112 0.999999 1330308 29246
8 139 0.999999 1329870 28364
8 263 0.999999 1329508 28581
8 282 1 1330570 28210
16 0 0 3605598 14765
16 1 1.77802e-07 3605598 15229
16 2 0.472529 2837024 17235
16 3 0.672378 2266960 20628
16 4 0.831958 2000188 23357
16 5 0.922484 1890126 25487
16 6 0.964238 1838257 28236
16 7 0.982593 1824213 28784
16 8 0.990461 1812231 28906
16 9 0.994359 1804483 29321
16 10 0.996419 1801370 29620
16 11 0.997613 1798266 30471
16 12 0.998302 1797119 30452
16 13 0.998754 1799340 29650
16 15 0.999262 1796665 29329
16 17 0.999534 1795790 30325
16 19 0.999675 1796722 30107
16 21 0.99977 1796524 30685
16 24 0.999852 1796804 30281
16 27 0.999902 1796868 29507
16 30 0.999937 1797344 28514
16 34 0.999958 1796928 31013
16 38 0.999973 1798113 29624
16 43 0.999982 1796624 29327
16 50 0.999988 1796361 29226
16 57 0.999992 1797017 29187
16 64 0.999995 1797148 29592
16 73 0.999996 1797449 29637
16 90 0.999998 1797944 29764
16 96 0.999998 1796895 29940
16 112 0.999999 1798162 29668
16 139 0.999999 1797524 29524
16 263 0.999999 1797324 29815
16 282 1 1797334 29810
32 0 0 4027455 15006
32 1 1.77802e-07 4027455 15676
32 2 0.472529 3285186 18114
32 3 0.672378 2679789 21369
32 4 0.831958 2399280 24465
32 5 0.922484 2274814 25062
32 6 0.964238 2221590 29455
32 7 0.982593 2199513 28892
32 8 0.990461 2188211 29485
32 9 0.994359 2182262 29484
32 10 0.996419 2181889 29304
32 11 0.997613 2176436 29869
32 12 0.998302 2177006 29648
32 13 0.998754 2175331 29675
32 15 0.999262 2171852 29923
32 17 0.999534 2172766 29922
32 19 0.999675 2171307 30630
32 21 0.99977 2170364 28961
32 24 0.999852 2170119 31032
32 27 0.999902 2169533 30546
32 30 0.999937 2169729 30348
32 34 0.999958 2169305 30182
32 38 0.999973 2170728 30416
32 43 0.999982 2169343 30216
32 50 0.999988 2170820 30467
32 57 0.999992 2170795 30365
32 64 0.999995 2170929 30345
32 73 0.999996 2171060 30773
32 90 0.999998 2169877 30504
32 96 0.999998 2170960 30844
32 112 0.999999 2169307 29827
32 139 0.999999 2171642 30165
32 263 0.999999 2171570 29671
32 282 1 2171708 29847
64 0 0 4340118 14680
64 1 1.77802e-07 4340118 15358
64 2 0.472529 3563750 17558
64 3 0.672378 2935786 21128
64 4 0.831958 2642257 24329
64 5 0.922484 2521081 26384
64 6 0.964238 2466086 27428
64 7 0.982593 2439275 28222
64 8 0.990461 2428919 28868
64 9 0.994359 2420293 29184
64 10 0.996419 2415944 29411
64 11 0.997613 2414529 29231
64 12 0.998302 2414563 29262
64 13 0.998754 2414352 29502
64 15 0.999262 2414267 29868
64 17 0.999534 2410724 29315
64 19 0.999675 2411975 29879
64 21 0.99977 2414478 29904
64 24 0.999852 2413126 30102
64 27 0.999902 2415677 29913
64 30 0.999937 2416407 29655
64 34 0.999958 2417163 29334
64 38 0.999973 2417780 29193
64 43 0.999982 2415562 29360
64 50 0.999988 2417115 29542
64 57 0.999992 2416436 29480
64 64 0.999995 2414254 29600
64 73 0.999996 2414123 29242
64 90 0.999998 2415998 29584
64 96 0.999998 2418914 29681
64 112 0.999999 2416029 29711
64 139 0.999999 2416471 28507
64 263 0.999999 2417251 28063
64 282 1 2415976 28136
