# dataset:out.dbpedia-location
# p sheild sheild% k-1 runtime(ms)
2 0 0 12016 260
2 1 0.000243355 12016 267
2 2 0.620517 9299 305
2 3 0.762879 7372 369
2 5 0.867634 5000 370
2 7 0.909341 3838 378
2 10 0.938076 2777 401
2 15 0.959397 1934 422
2 22 0.973194 1325 436
2 33 0.982198 901 455
2 54 0.988413 598 477
2 84 0.992156 394 508
2 129 0.994777 260 571
2 188 0.996537 169 593
2 273 0.997716 1279 616
2 373 0.998465 2307 651
2 479 0.99897 2875 657
2 683 0.999307 2994 690
2 931 0.999532 3244 686
2 1322 0.999682 3508 692
2 1704 0.999794 3441 720
2 1961 0.99985 3427 740
2 2227 0.999906 3407 739
2 2228 0.999925 3379 765
2 2446 0.999944 3371 767
2 2481 0.999963 3459 805
4 0 0 25159 267
4 1 0.000243355 25159 282
4 2 0.620517 20775 313
4 3 0.762879 17379 306
4 5 0.867634 12746 348
4 7 0.909341 10182 386
4 10 0.938076 7628 372
4 15 0.959397 5472 398
4 22 0.973194 3833 421
4 33 0.982198 2627 442
4 54 0.988413 1757 468
4 84 0.992156 1172 500
4 129 0.994777 2972 522
4 188 0.996537 3461 559
4 273 0.997716 3367 597
4 373 0.998465 3253 634
4 479 0.99897 3085 659
4 683 0.999307 2913 692
4 931 0.999532 3331 726
4 1322 0.999682 3429 751
4 1704 0.999794 3557 767
4 1961 0.99985 3681 793
4 2227 0.999906 3902 789
4 2228 0.999925 3963 788
4 2446 0.999944 4165 809
4 2481 0.999963 4320 810
8 0 0 38620 279
8 1 0.000243355 38620 282
8 2 0.620517 33493 300
8 3 0.762879 29093 314
8 5 0.867634 22794 334
8 7 0.909341 18941 369
8 10 0.938076 14821 387
8 15 0.959397 11126 387
8 22 0.973194 8038 401
8 33 0.982198 5680 421
8 54 0.988413 3895 485
8 84 0.992156 4315 547
8 129 0.994777 3757 541
8 188 0.996537 3527 578
8 273 0.997716 3435 658
8 373 0.998465 3066 666
8 479 0.99897 3029 668
8 683 0.999307 2992 682
8 931 0.999532 3257 723
8 1322 0.999682 3858 791
8 1704 0.999794 4345 825
8 1961 0.99985 4526 848
8 2227 0.999906 4932 887
8 2228 0.999925 4986 925
8 2446 0.999944 5208 942
8 2481 0.999963 5107 985
16 0 0 52641 282
16 1 0.000243355 52641 274
16 2 0.620517 47183 305
16 3 0.762879 42012 312
16 5 0.867634 34438 354
16 7 0.909341 29728 367
16 10 0.938076 24308 377
16 15 0.959397 19055 396
16 22 0.973194 14460 428
16 33 0.982198 10644 435
16 54 0.988413 8419 427
16 84 0.992156 6405 462
16 129 0.994777 5217 538
16 188 0.996537 4518 554
16 273 0.997716 3811 600
16 373 0.998465 3424 650
16 479 0.99897 3292 707
16 683 0.999307 3606 785
16 931 0.999532 3967 785
16 1322 0.999682 4044 819
16 1704 0.999794 4216 867
16 1961 0.99985 4624 948
16 2227 0.999906 4807 940
16 2228 0.999925 4834 966
16 2446 0.999944 4974 972
16 2481 0.999963 5108 985
32 0 0 67431 266
32 1 0.000243355 67431 268
32 2 0.620517 61440 281
32 3 0.762879 55821 291
32 5 0.867634 47534 312
32 7 0.909341 41932 321
32 10 0.938076 35844 332
32 15 0.959397 29343 349
32 22 0.973194 23312 361
32 33 0.982198 18481 375
32 54 0.988413 13838 406
32 84 0.992156 10411 429
32 129 0.994777 7859 457
32 188 0.996537 6132 503
32 273 0.997716 4770 532
32 373 0.998465 4655 595
32 479 0.99897 4421 660
32 683 0.999307 3995 724
32 931 0.999532 4176 778
32 1322 0.999682 4163 843
32 1704 0.999794 4311 869
32 1961 0.99985 4431 930
32 2227 0.999906 4693 967
32 2228 0.999925 4623 997
32 2446 0.999944 4833 1004
32 2481 0.999963 4912 1032
64 0 0 83187 270
64 1 0.000243355 83187 269
64 2 0.620517 76756 284
64 3 0.762879 70975 292
64 5 0.867634 62037 300
64 7 0.909341 55861 309
64 10 0.938076 49088 319
64 15 0.959397 41561 337
64 22 0.973194 34282 349
64 33 0.982198 28089 355
64 54 0.988413 21908 368
64 84 0.992156 16492 390
64 129 0.994777 12633 422
64 188 0.996537 9310 458
64 273 0.997716 7006 508
64 373 0.998465 6133 570
64 479 0.99897 5401 635
64 683 0.999307 4641 690
64 931 0.999532 4705 767
64 1322 0.999682 4560 813
64 1704 0.999794 4580 856
64 1961 0.99985 4651 928
64 2227 0.999906 4803 976
64 2228 0.999925 4796 994
64 2446 0.999944 5032 1036
64 2481 0.999963 5345 1045
