# dataset:out.dbpedia-team
# p sheild sheild% k-1 runtime(ms)
2 0 0 14550 1115
2 2 0.271023 13957 1150
2 4 0.535924 12399 1187
2 14 0.701323 8957 1352
2 30 0.79769 6593 1563
2 53 0.866984 4499 1801
2 95 0.911729 3015 2104
2 167 0.941472 2001 2341
2 253 0.960942 1342 2649
2 355 0.973971 5922 2992
2 462 0.982648 7949 3303
2 578 0.988422 8391 3558
2 739 0.992252 8807 3749
2 904 0.994835 9309 3937
2 1151 0.996547 9760 4069
2 1371 0.997708 10027 4170
2 1524 0.998462 10276 4259
2 1620 0.998984 10397 4318
2 1696 0.999304 17832 4486
2 1878 0.999536 17310 4499
2 1990 0.999681 16596 4515
2 2079 0.999797 17493 4526
2 2237 0.999855 16906 4551
2 2457 0.999884 16695 4558
2 2507 0.999913 16490 4556
2 2579 0.999942 16441 4587
4 0 0 34398 1104
4 2 0.271023 33572 1141
4 4 0.535924 31199 1178
4 14 0.701323 24189 1315
4 30 0.79769 18705 1540
4 53 0.866984 13305 1761
4 95 0.911729 10036 2045
4 167 0.941472 15403 2450
4 253 0.960942 15667 2886
4 355 0.973971 13644 3249
4 462 0.982648 12662 3516
4 578 0.988422 12252 3767
4 739 0.992252 12417 3940
4 904 0.994835 12623 4213
4 1151 0.996547 12779 4322
4 1371 0.997708 12727 4459
4 1524 0.998462 12723 4555
4 1620 0.998984 12813 4603
4 1696 0.999304 18910 4750
4 1878 0.999536 18270 4766
4 1990 0.999681 17479 4798
4 2079 0.999797 18438 4808
4 2237 0.999855 17740 4812
4 2457 0.999884 17477 4823
4 2507 0.999913 17271 4820
4 2579 0.999942 17212 4804
8 0 0 62941 1112
8 2 0.271023 61956 1141
8 4 0.535924 59208 1176
8 14 0.701323 49142 1301
8 30 0.79769 39714 1488
8 53 0.866984 36053 1732
8 95 0.911729 31360 2158
8 167 0.941472 25836 2518
8 253 0.960942 23260 2985
8 355 0.973971 19120 3336
8 462 0.982648 18469 3662
8 578 0.988422 18291 3922
8 739 0.992252 18397 4134
8 904 0.994835 19006 4380
8 1151 0.996547 19379 4488
8 1371 0.997708 18837 4611
8 1524 0.998462 18802 4715
8 1620 0.998984 19151 4765
8 1696 0.999304 19314 4877
8 1878 0.999536 19065 4894
8 1990 0.999681 19215 4928
8 2079 0.999797 19231 4935
8 2237 0.999855 19255 4958
8 2457 0.999884 19263 4953
8 2507 0.999913 19274 4958
8 2579 0.999942 19290 4917
16 0 0 102140 1123
16 2 0.271023 101118 1149
16 4 0.535924 98428 1176
16 14 0.701323 86582 1279
16 30 0.79769 75608 1453
16 53 0.866984 66481 1737
16 95 0.911729 53944 2133
16 167 0.941472 42953 2503
16 253 0.960942 36011 2941
16 355 0.973971 32775 3621
16 462 0.982648 30666 4239
16 578 0.988422 28696 4630
16 739 0.992252 28107 4844
16 904 0.994835 27674 5059
16 1151 0.996547 27993 5285
16 1371 0.997708 28115 5561
16 1524 0.998462 27950 5690
16 1620 0.998984 27920 5786
16 1696 0.999304 27973 5824
16 1878 0.999536 28014 5948
16 1990 0.999681 28838 6023
16 2079 0.999797 28829 6044
16 2237 0.999855 28783 6070
16 2457 0.999884 28778 6066
16 2507 0.999913 28792 6068
16 2579 0.999942 28763 6067
32 0 0 152898 1138
32 2 0.271023 151960 1159
32 4 0.535924 149798 1180
32 14 0.701323 137881 1275
32 30 0.79769 127193 1437
32 53 0.866984 111515 1705
32 95 0.911729 91192 2088
32 167 0.941472 75281 2749
32 253 0.960942 61631 3453
32 355 0.973971 51329 4126
32 462 0.982648 47459 5118
32 578 0.988422 43751 5659
32 739 0.992252 39795 5859
32 904 0.994835 38798 6073
32 1151 0.996547 39114 6724
32 1371 0.997708 39377 7297
32 1524 0.998462 39325 7745
32 1620 0.998984 39623 8108
32 1696 0.999304 40517 8422
32 1878 0.999536 39786 8423
32 1990 0.999681 40008 8480
32 2079 0.999797 40640 8726
32 2237 0.999855 39665 8478
32 2457 0.999884 39774 8494
32 2507 0.999913 39986 8678
32 2579 0.999942 40131 8643
64 0 0 214506 1142
64 2 0.271023 213688 1161
64 4 0.535924 212226 1179
64 14 0.701323 201692 1261
64 30 0.79769 190649 1419
64 53 0.866984 173328 1673
64 95 0.911729 150071 2185
64 167 0.941472 123737 2969
64 253 0.960942 101408 3930
64 355 0.973971 82557 5174
64 462 0.982648 71840 6383
64 578 0.988422 62228 6992
64 739 0.992252 57099 7820
64 904 0.994835 56700 8787
64 1151 0.996547 54609 9317
64 1371 0.997708 51816 9533
64 1524 0.998462 51593 10354
64 1620 0.998984 50493 10230
64 1696 0.999304 50526 10446
64 1878 0.999536 51497 10996
64 1990 0.999681 51692 10992
64 2079 0.999797 51954 11200
64 2237 0.999855 50605 10914
64 2457 0.999884 51043 10926
64 2507 0.999913 52832 11664
64 2579 0.999942 51610 11231
