# dataset:wiki.txt
# p sheild sheild% k-1 runtime(ms)
2 0 0 2919 34
2 4 0.325435 2377 22
2 10 0.533913 2155 29
2 20 0.697174 2349 38
2 34 0.802174 2445 49
2 50 0.866957 2523 58
2 68 0.911522 2542 70
2 88 0.941304 2558 94
2 116 0.96087 2565 101
2 154 0.973913 2556 95
2 197 0.982609 2564 104
2 248 0.987826 2571 108
2 314 0.992174 2576 131
2 357 0.994783 2584 132
2 517 0.996522 2587 119
2 573 0.997609 2592 118
2 602 0.998261 2586 134
2 750 0.998696 2613 124
2 928 0.99913 2614 143
2 956 0.999348 2608 128
2 969 0.999565 2612 146
4 0 0 8522 24
4 4 0.325435 7480 26
4 10 0.533913 6565 36
4 20 0.697174 6436 46
4 34 0.802174 6600 61
4 50 0.866957 6808 81
4 68 0.911522 6925 103
4 88 0.941304 7035 112
4 116 0.96087 7064 120
4 154 0.973913 7113 131
4 197 0.982609 7104 157
4 248 0.987826 7149 157
4 314 0.992174 7197 154
4 357 0.994783 7217 188
4 517 0.996522 7282 179
4 573 0.997609 7307 169
4 602 0.998261 7278 180
4 750 0.998696 7281 190
4 928 0.99913 7299 191
4 956 0.999348 7289 188
4 969 0.999565 7302 178
8 0 0 16986 26
8 4 0.325435 15574 27
8 10 0.533913 13643 34
8 20 0.697174 12490 54
8 34 0.802174 12347 89
8 50 0.866957 12279 102
8 68 0.911522 12415 126
8 88 0.941304 12601 152
8 116 0.96087 12884 172
8 154 0.973913 13083 194
8 197 0.982609 13137 218
8 248 0.987826 13241 232
8 314 0.992174 13422 230
8 357 0.994783 13524 248
8 517 0.996522 13555 257
8 573 0.997609 13639 261
8 602 0.998261 13512 271
8 750 0.998696 13768 277
8 928 0.99913 13717 275
8 956 0.999348 13736 292
8 969 0.999565 13671 281
16 0 0 28530 28
16 4 0.325435 27002 30
16 10 0.533913 23795 37
16 20 0.697174 20820 65
16 34 0.802174 19717 106
16 50 0.866957 19328 131
16 68 0.911522 19109 172
16 88 0.941304 19097 209
16 116 0.96087 19398 248
16 154 0.973913 19453 273
16 197 0.982609 19417 299
16 248 0.987826 19627 329
16 314 0.992174 19927 358
16 357 0.994783 20033 367
16 517 0.996522 20076 382
16 573 0.997609 20195 392
16 602 0.998261 20271 413
16 750 0.998696 19983 429
16 928 0.99913 20328 419
16 956 0.999348 20338 431
16 969 0.999565 20485 431
32 0 0 42674 32
32 4 0.325435 40644 32
32 10 0.533913 36011 40
32 20 0.697174 31459 67
32 34 0.802174 29000 111
32 50 0.866957 27660 169
32 68 0.911522 26968 236
32 88 0.941304 27142 303
32 116 0.96087 26942 349
32 154 0.973913 26975 412
32 197 0.982609 27246 466
32 248 0.987826 27239 496
32 314 0.992174 27419 538
32 357 0.994783 27456 572
32 517 0.996522 27355 605
32 573 0.997609 27947 619
32 602 0.998261 27871 636
32 750 0.998696 27728 655
32 928 0.99913 27960 667
32 956 0.999348 28087 668
32 969 0.999565 28254 683
64 0 0 57674 35
64 4 0.325435 55178 35
64 10 0.533913 49531 45
64 20 0.697174 43309 73
64 34 0.802174 39297 124
64 50 0.866957 37417 198
64 68 0.911522 36219 281
64 88 0.941304 35809 367
64 116 0.96087 35491 453
64 154 0.973913 35292 525
64 197 0.982609 35344 614
64 248 0.987826 35402 710
64 314 0.992174 35355 751
64 357 0.994783 35459 815
64 517 0.996522 35757 857
64 573 0.997609 35767 907
64 602 0.998261 35802 937
64 750 0.998696 36067 977
64 928 0.99913 36084 989
64 956 0.999348 35943 1005
64 969 0.999565 36434 1034
