# dataset:github.txt
# p sheild sheild% k-1 runtime(ms)
2 0 0 27351 276
2 1 3.30934e-05 27351 284
2 2 0.686978 16085 315
2 3 0.820237 11122 346
2 5 0.902714 6974 378
2 7 0.932986 5195 415
2 11 0.959039 3510 450
2 17 0.973757 2460 462
2 26 0.982643 1980 491
2 38 0.988285 2535 522
2 58 0.992223 3124 559
2 83 0.994837 3406 588
2 114 0.996567 3616 608
2 155 0.997675 3785 644
2 203 0.998469 3827 657
2 268 0.998974 3888 644
2 353 0.999322 3947 649
2 470 0.999545 3924 704
2 549 0.999694 3856 715
2 673 0.999793 3873 706
2 781 0.999859 3905 708
2 990 0.999909 3972 754
2 1136 0.999934 4016 718
2 1438 0.999959 4024 718
2 1565 0.999967 4055 689
2 1611 0.999975 4061 685
2 1929 0.999983 4074 700
4 0 0 38807 275
4 1 3.30934e-05 38807 280
4 2 0.686978 30190 325
4 3 0.820237 19642 341
