# dataset:out.actor-movie
# p sheild sheild% k-1 runtime(ms)
2 0 0 87650 777
2 1 2.6066e-06 87650 791
2 2 0.637252 57717 960
2 3 0.759538 51777 1051
2 5 0.849643 46953 1177
2 8 0.902179 47574 1320
2 13 0.939631 47487 1518
2 19 0.960609 46322 1699
2 26 0.973587 49682 1856
2 34 0.982184 50372 1993
2 44 0.988356 52682 2134
2 55 0.992217 54202 2262
2 67 0.994782 55382 2344
2 81 0.996484 55840 2404
2 96 0.99767 56792 2467
2 112 0.998441 57688 2526
2 131 0.998968 58073 2558
4 0 0 161199 759
4 1 2.6066e-06 161199 811
4 2 0.637252 131594 989
4 3 0.759538 128200 1065
4 5 0.849643 124251 1213
4 8 0.902179 109758 1355
4 13 0.939631 113024 1623
4 19 0.960609 101280 1830
4 26 0.973587 112060 2049
4 34 0.982184 112312 2228
4 44 0.988356 115024 2417
4 55 0.992217 111471 2545
4 67 0.994782 116965 2670
4 81 0.996484 120136 2791
4 96 0.99767 118832 2865
4 112 0.998441 117148 2927
4 131 0.998968 117747 2973
8 0 0 249392 826
8 1 2.6066e-06 249392 876
8 2 0.637252 229625 1035
8 3 0.759538 197993 1099
8 5 0.849643 194161 1242
8 8 0.902179 170690 1412
8 13 0.939631 157291 1681
8 19 0.960609 155892 1906
8 26 0.973587 153919 2215
8 34 0.982184 155517 2408
8 44 0.988356 160918 2703
8 55 0.992217 155579 2837
8 67 0.994782 163570 3070
8 81 0.996484 151483 3109
8 96 0.99767 157765 3292
8 112 0.998441 156939 3325
8 131 0.998968 158557 3416
16 0 0 360747 866
16 1 2.6066e-06 360747 902
16 2 0.637252 339611 1061
16 3 0.759538 319403 1119
16 5 0.849643 281396 1269
16 8 0.902179 271615 1468
16 13 0.939631 240682 1719
16 19 0.960609 223142 2003
16 26 0.973587 218535 2333
16 34 0.982184 211026 2646
16 44 0.988356 207992 2941
16 55 0.992217 201014 3156
16 67 0.994782 203492 3425
16 81 0.996484 202989 3541
16 96 0.99767 201024 3709
16 112 0.998441 200262 3843
16 131 0.998968 199087 3897
32 0 0 483284 893
32 1 2.6066e-06 483284 934
32 2 0.637252 466673 1088
32 3 0.759538 444501 1170
32 5 0.849643 394999 1299
32 8 0.902179 352318 1492
32 13 0.939631 311403 1776
32 19 0.960609 278556 2062
32 26 0.973587 273181 2453
32 34 0.982184 254828 2752
32 44 0.988356 250026 3107
32 55 0.992217 247390 3459
32 67 0.994782 242662 3755
32 81 0.996484 244309 4042
32 96 0.99767 245104 4265
32 112 0.998441 241054 4361
32 131 0.998968 240615 4501
64 0 0 601006 905
64 1 2.6066e-06 601006 947
64 2 0.637252 586176 1093
64 3 0.759538 559532 1165
64 5 0.849643 485016 1273
64 8 0.902179 441889 1474
64 13 0.939631 410439 1854
64 19 0.960609 359904 2187
64 26 0.973587 342438 2600
64 34 0.982184 323694 3011
64 44 0.988356 311151 3422
64 55 0.992217 303588 3891
64 67 0.994782 302702 4257
64 81 0.996484 299423 4594
64 96 0.99767 294735 4892
64 112 0.998441 292639 5025
64 131 0.998968 295861 5353
