# dataset:out.dblp-author
# p sheild sheild% k-1 runtime(ms)
2 0 0 1675045 12562
2 1 1.77802e-07 1675045 12646
2 2 0.472529 1031513 15257
2 3 0.672378 516605 18210
2 4 0.831958 462022 20409
2 5 0.922484 455342 21736
2 6 0.964238 449945 22509
2 7 0.982593 449274 23006
2 8 0.990461 449587 23269
2 9 0.994359 450085 23412
2 10 0.996419 430934 23657
2 11 0.997613 433014 23890
2 12 0.998302 434393 23720
2 13 0.998754 435807 23743
4 0 0 2316066 12758
4 1 1.77802e-07 2316066 13228
4 2 0.472529 1584079 15642
4 3 0.672378 1148084 18565
4 4 0.831958 997548 20870
4 5 0.922484 932164 22374
4 6 0.964238 884752 23218
4 7 0.982593 878933 23703
4 8 0.990461 878572 23986
4 9 0.994359 879068 24135
4 10 0.996419 879424 24248
4 11 0.997613 880016 24831
4 12 0.998302 880752 24891
4 13 0.998754 880851 24912
8 0 0 2991957 13259
8 1 1.77802e-07 2991957 13755
8 2 0.472529 2295162 16345
8 3 0.672378 1725063 19218
8 4 0.831958 1498242 21840
8 5 0.922484 1406011 23547
8 6 0.964238 1360213 24377
8 7 0.982593 1339542 24878
8 8 0.990461 1335392 25290
8 9 0.994359 1331796 25486
8 10 0.996419 1329827 25602
8 11 0.997613 1329277 25653
8 12 0.998302 1329501 25789
8 13 0.998754 1327917 25846
16 0 0 3605598 13874
16 1 1.77802e-07 3605598 14319
16 2 0.472529 2837024 16021
16 3 0.672378 2266960 19224
16 4 0.831958 2000188 21973
16 5 0.922484 1890126 23734
16 6 0.964238 1838257 24748
16 7 0.982593 1824213 25316
16 8 0.990461 1812231 25935
16 9 0.994359 1804483 26186
16 10 0.996419 1801370 26315
16 11 0.997613 1798266 26064
16 12 0.998302 1797119 26188
16 13 0.998754 1799340 26189
32 0 0 4027455 13560
32 1 1.77802e-07 4027455 14122
32 2 0.472529 3285186 16145
32 3 0.672378 2679789 19235
32 4 0.831958 2399280 21973
32 5 0.922484 2274814 23876
32 6 0.964238 2221590 25225
32 7 0.982593 2199513 25465
32 8 0.990461 2188211 26171
32 9 0.994359 2182262 26307
32 10 0.996419 2181889 26365
32 11 0.997613 2176436 26411
32 12 0.998302 2177006 26434
32 13 0.998754 2175331 26510
64 0 0 4340118 13253
64 1 1.77802e-07 4340118 13922
64 2 0.472529 3563750 15798
64 3 0.672378 2935786 19015
64 4 0.831958 2642257 21915
64 5 0.922484 2521081 23713
64 6 0.964238 2466086 24950
64 7 0.982593 2439275 25548
64 8 0.990461 2428919 26031
64 9 0.994359 2420293 26259
64 10 0.996419 2415944 26468
64 11 0.997613 2414529 26522
64 12 0.998302 2414563 26675
64 13 0.998754 2414352 26713
