# dataset:out.dbpedia-location
# p sheild sheild% k-1 runtime(ms)
2 0 0 12016 255
2 1 0.000243355 12016 259
2 2 0.620517 9299 311
2 3 0.762879 7372 341
2 5 0.867634 5000 345
2 7 0.909341 3838 365
2 10 0.938076 2777 380
2 15 0.959397 1934 393
2 22 0.973194 1325 413
2 33 0.982198 901 432
2 54 0.988413 598 452
2 84 0.992156 394 496
2 129 0.994777 260 519
2 188 0.996537 169 541
2 273 0.997716 1279 574
2 373 0.998465 2307 600
2 479 0.99897 2875 623
4 0 0 25159 267
4 1 0.000243355 25159 276
4 2 0.620517 20775 296
4 3 0.762879 17379 331
4 5 0.867634 12746 364
4 7 0.909341 10182 378
4 10 0.938076 7628 391
4 15 0.959397 5472 411
4 22 0.973194 3833 434
4 33 0.982198 2627 446
4 54 0.988413 1757 481
4 84 0.992156 1172 494
4 129 0.994777 2972 530
4 188 0.996537 3461 566
4 273 0.997716 3367 597
4 373 0.998465 3253 625
4 479 0.99897 3085 660
8 0 0 38620 265
8 1 0.000243355 38620 271
8 2 0.620517 33493 296
8 3 0.762879 29093 316
8 5 0.867634 22794 336
8 7 0.909341 18941 352
8 10 0.938076 14821 367
8 15 0.959397 11126 389
8 22 0.973194 8038 409
8 33 0.982198 5680 432
8 54 0.988413 3895 454
8 84 0.992156 4315 486
8 129 0.994777 3757 516
8 188 0.996537 3527 556
8 273 0.997716 3435 592
8 373 0.998465 3066 631
8 479 0.99897 3029 658
16 0 0 52641 266
16 1 0.000243355 52641 271
16 2 0.620517 47183 290
16 3 0.762879 42012 304
16 5 0.867634 34438 327
16 7 0.909341 29728 344
16 10 0.938076 24308 356
16 15 0.959397 19055 375
16 22 0.973194 14460 389
16 33 0.982198 10644 406
16 54 0.988413 8419 431
16 84 0.992156 6405 457
16 129 0.994777 5217 497
16 188 0.996537 4518 529
16 273 0.997716 3811 570
16 373 0.998465 3424 609
16 479 0.99897 3292 665
32 0 0 67431 265
32 1 0.000243355 67431 269
32 2 0.620517 61440 287
32 3 0.762879 55821 297
32 5 0.867634 47534 314
32 7 0.909341 41932 324
32 10 0.938076 35844 337
32 15 0.959397 29343 356
32 22 0.973194 23312 366
32 33 0.982198 18481 384
32 54 0.988413 13838 404
32 84 0.992156 10411 431
32 129 0.994777 7859 455
32 188 0.996537 6132 518
32 273 0.997716 4770 539
32 373 0.998465 4655 606
32 479 0.99897 4421 660
64 0 0 83187 271
64 1 0.000243355 83187 279
64 2 0.620517 76756 291
64 3 0.762879 70975 292
64 5 0.867634 62037 306
64 7 0.909341 55861 321
64 10 0.938076 49088 328
64 15 0.959397 41561 338
64 22 0.973194 34282 349
64 33 0.982198 28089 364
64 54 0.988413 21908 373
64 84 0.992156 16492 396
64 129 0.994777 12633 427
64 188 0.996537 9310 470
64 273 0.997716 7006 527
64 373 0.998465 6133 578
64 479 0.99897 5401 639
