# dataset:../data/out.github n:56524 m:120872
# p , k-1 , partition time , total time 
2,2417,437,437
4,11473,438,438
8,23229,492,492
16,37540,553,553
32,53104,672,672
64,68886,912,912
128,86554,1169,1169
256,105405,1731,1731

# dataset:../data/out.github-swap.txt n:120872 m:56524
# p , k-1 , partition time , total time 
2,5998,482,482
4,17318,533,533
8,23684,531,531
16,31461,733,733
32,41558,828,828
64,54208,905,905
128,69083,1100,1100
256,85901,1401,1401

# dataset:../data/out.actor-movie n:127828 m:383645
# p , k-1 , partition time , total time 
2,52008,1580,1580
4,104483,1766,1766
8,148701,2007,2007
16,191760,2188,2188
32,223492,2401,2401
64,266455,2870,2870
128,320640,3164,3164
256,397749,3804,3804

# dataset:../data/out.actor-movie-swap.txt n:383645 m:127828
# p , k-1 , partition time , total time 
2,30945,2068,2068
4,64493,2139,2139
8,110524,2341,2341
16,165353,2634,2634
32,222027,3296,3296
64,261215,3533,3533
128,299340,3589,3589
256,361247,4008,4008

# dataset:../data/out.dblp-author n:1953090 m:5624224
# p , k-1 , partition time , total time 
2,401207,22245,22245
4,849916,23578,23578
8,1284043,22832,22832
16,1747518,23032,23032
32,2129788,23486,23486
64,2360703,23093,23093
128,2510040,22450,22450
256,2593930,20497,20497

# dataset:../data/out.dblp-author-swap.txt n:5623936 m:1953090
# p , k-1 , partition time , total time 
2,558687,32182,32182
4,957266,34790,34790
8,979773,38612,38612
16,1102287,46536,46536
32,1159447,51176,51176
64,1227884,58968,58968
128,1268234,61464,61464
256,1306269,67044,67044

# dataset:../data/reuters.txt n:781270 m:283916
# p , k-1 , partition time , total time 
2,81480,90749,90749
4,212079,140623,140623
8,404751,216391,216391
