# MIN-MAX  - dataset:out.actor-movie n:127823 m:383640
# p , k-1 ,  total time 
2,73394,1990

# MIN-MAX  - dataset:out.actor-movie-swap.txt n:383640 m:127823
# p , k-1 ,  total time 
2,80985,2332

# MIN-MAX  - dataset:out.dblp-author n:1953085 m:5624219
# p , k-1 ,  total time 
2,1016797,35731

# MIN-MAX  - dataset:out.dblp-author-swap.txt n:5623931 m:1953085
# p , k-1 ,  total time 
2,764050,38799

# MIN-MAX  - dataset:out.dbpedia-location n:172091 m:53407
# p , k-1 ,  total time 
2,8416,490

# MIN-MAX  - dataset:out.dbpedia-location-swap.txt n:53407 m:172091
# p , k-1 ,  total time 
2,19729,388

# MIN-MAX  - dataset:out.dbpedia-team n:901166 m:34461
# p , k-1 ,  total time 
2,13742,2653

# MIN-MAX  - dataset:out.dbpedia-team-swap.txt n:34461 m:901166
# p , k-1 ,  total time 
2,44275,1849

# MIN-MAX  - dataset:out.github n:56519 m:120867
# p , k-1 ,  total time 
2,15035,550

# MIN-MAX  - dataset:out.github-swap.txt n:120867 m:56519
# p , k-1 ,  total time 
2,17193,591

# MIN-MAX  - dataset:wiki_new.txt n:4566 m:4131
# p , k-1 ,  total time 
2,2730,101

# MIN-MAX  - dataset:wiki_new.txt-swap.txt n:4131 m:4566
# p , k-1 ,  total time 
2,4309,93

4,160818,2702

4,177231,3190

4,1919181,53084

4,1456954,52682

4,16300,581

4,38508,481

4,31679,3159

4,83447,2510

4,32629,697

4,32854,768

4,7142,135

4,9997,146

8,264267,3985

8,293465,4584

8,2742399,79333

8,2101843,79626

8,24017,751

8,54938,669

8,57449,4069

8,141358,3670

8,53656,955

8,57261,1054

8,13492,204

8,21999,189

16,382957,6180

16,436143,6817

16,3367615,118923

16,2818442,117374

16,33331,1046

16,65675,992

16,99736,5774

16,199434,5349

16,76769,1429

16,90673,1482

16,22531,311

16,35289,285

32,542081,9417

32,629978,10783

32,4084769,170830

32,3875157,173556

32,49028,1444

32,77867,1313

32,178071,8764

32,285727,6909

32,113680,1953

32,134968,2093

32,35737,392

32,51040,433

64,740221,10945

64,927222,12803

64,5207652,179296

64,5909727,195517

64,83604,1757

64,93924,1728

64,333003,11190

64,380541,7736

64,163753,2273

64,212948,2591

64,53869,465

64,74143,458

