,method,dataset,p,neigh,neighTot,edgeCopy
0,entropy,out.dbpedia-team,2,397576610,669389420,3950
1,HYPE,out.dbpedia-team,2,503950012,669389420,11002
2,MinMax,out.dbpedia-team,2,337254164,669389420,27500
3,KaHyPar,out.dbpedia-team,2,439231846,669389420,6186
4,random,out.dbpedia-team,2,334717638,669389420,41624
5,entropy,out.orkut-groupmemberships,2,4674464862738,4899826005842,2565116
6,HYPE,out.orkut-groupmemberships,2,3807191459958,4899826005842,9079084
7,MinMax,out.orkut-groupmemberships,2,2551721356262,4899826005842,9832596
8,random,out.orkut-groupmemberships,2,2449907746456,4899826005842,11457108
9,entropy,out.actor-movie-swap.txt,2,24180770,33114922,50346
10,HYPE,out.actor-movie-swap.txt,2,24843994,33114922,69912
11,MinMax,out.actor-movie-swap.txt,2,19049788,33114922,156150
12,KaHyPar,out.actor-movie-swap.txt,2,30680876,33114922,22944
13,random,out.actor-movie-swap.txt,2,16558622,33114922,220332
14,entropy,out.github,2,59324090,72504646,4056
15,HYPE,out.github,2,60818276,72504646,9376
16,MinMax,out.github,2,45299412,72504646,29416
17,KaHyPar,out.github,2,61848086,72504646,2678
18,random,out.github,2,36241244,72504646,55436
19,entropy,out.dbpedia-location-swap.txt,2,297980,336286,15440
20,HYPE,out.dbpedia-location-swap.txt,2,255140,336286,55078
21,MinMax,out.dbpedia-location-swap.txt,2,254376,336286,48056
22,KaHyPar,out.dbpedia-location-swap.txt,2,330264,336286,1088
23,random,out.dbpedia-location-swap.txt,2,166618,336286,104500
24,entropy,out.orkut-groupmemberships-swap.txt,2,148364722038,156253011524,2454996
25,HYPE,out.orkut-groupmemberships-swap.txt,2,86727108886,156253011524,2923856
26,MinMax,out.orkut-groupmemberships-swap.txt,2,101038400130,156253011524,3656832
27,random,out.orkut-groupmemberships-swap.txt,2,78123012052,156253011524,5195536
28,entropy,out.trackers-swap.txt,2,918738180428,1733537480762,73240
29,HYPE,out.trackers-swap.txt,2,930172708550,1733537480762,4242550
30,MinMax,out.trackers-swap.txt,2,880110055330,1733537480762,7923378
31,random,out.trackers-swap.txt,2,866786483106,1733537480762,26581184
32,entropy,out.dbpedia-team-swap.txt,2,3014474,3176572,19110
33,HYPE,out.dbpedia-team-swap.txt,2,2985290,3176572,31004
34,MinMax,out.dbpedia-team-swap.txt,2,2550884,3176572,72870
35,KaHyPar,out.dbpedia-team-swap.txt,2,3000846,3176572,18966
36,random,out.dbpedia-team-swap.txt,2,1580246,3176572,187700
37,entropy,wiki_new.txt-swap.txt,2,4851996,5667296,6504
38,HYPE,wiki_new.txt-swap.txt,2,3566730,5667296,7364
39,MinMax,wiki_new.txt-swap.txt,2,3051222,5667296,8400
40,KaHyPar,wiki_new.txt-swap.txt,2,4681042,5667296,5698
41,random,wiki_new.txt-swap.txt,2,2827682,5667296,8964
42,entropy,out.dblp-author-swap.txt,2,366837164,611985702,601748
43,HYPE,out.dblp-author-swap.txt,2,466141336,611985702,680918
44,MinMax,out.dblp-author-swap.txt,2,324442330,611985702,1530656
45,random,out.dblp-author-swap.txt,2,305980556,611985702,2671676
46,entropy,out.trackers,2,110034520937358,211149810420152,7154
47,HYPE,out.trackers,2,110510842147456,211149810420152,960996
48,MinMax,out.trackers,2,105832198430898,211149810420152,2335382
49,random,out.trackers,2,105574905614508,211149810420152,7269650
50,entropy,out.github-swap.txt,2,26848518,33640832,11920
51,HYPE,out.github-swap.txt,2,27758980,33640832,21854
52,MinMax,out.github-swap.txt,2,22271500,33640832,30866
53,KaHyPar,out.github-swap.txt,2,27054640,33640832,7470
54,random,out.github-swap.txt,2,16839348,33640832,52738
55,entropy,out.actor-movie,2,29931102,45853252,97384
56,HYPE,out.actor-movie,2,39670750,45853252,70584
57,MinMax,out.actor-movie,2,26136076,45853252,147774
58,KaHyPar,out.actor-movie,2,44277862,45853252,22800
59,random,out.actor-movie,2,22928034,45853252,215632
60,entropy,wiki_new.txt,2,13161484,20911252,5964
61,HYPE,wiki_new.txt,2,11199300,20911252,5778
62,MinMax,wiki_new.txt,2,10926994,20911252,5702
63,KaHyPar,wiki_new.txt,2,13096262,20911252,3952
64,random,wiki_new.txt,2,10456882,20911252,6846
65,entropy,out.dbpedia-location,2,135040954,245450946,352
66,HYPE,out.dbpedia-location,2,151481514,245450946,2614
67,MinMax,out.dbpedia-location,2,124056616,245450946,16972
68,KaHyPar,out.dbpedia-location,2,181277204,245450946,216
69,random,out.dbpedia-location,2,122723804,245450946,30536
70,entropy,out.dblp-author,2,24330782,29486618,813014
71,HYPE,out.dblp-author,2,24447882,29486618,1535160
72,MinMax,out.dblp-author,2,21962794,29486618,2014834
73,random,out.dblp-author,2,14748290,29486618,4192716
74,entropy,out.dbpedia-team,8,246151154,669389420,31114
75,HYPE,out.dbpedia-team,8,274331546,669389420,91060
76,MinMax,out.dbpedia-team,8,87246632,669389420,301808
77,KaHyPar,out.dbpedia-team,8,396294226,669389420,24624
78,random,out.dbpedia-team,8,83672700,669389420,678166
79,entropy,out.orkut-groupmemberships,8,2216839121944,4899826005842,45700370
80,HYPE,out.orkut-groupmemberships,8,1055840002310,4899826005842,95588612
81,MinMax,out.orkut-groupmemberships,8,954780932158,4899826005842,92687698
82,random,out.orkut-groupmemberships,8,612481876502,4899826005842,148946490
83,entropy,out.actor-movie-swap.txt,8,17372498,33114922,362138
84,HYPE,out.actor-movie-swap.txt,8,13373974,33114922,583754
85,MinMax,out.actor-movie-swap.txt,8,8769576,33114922,1298108
86,KaHyPar,out.actor-movie-swap.txt,8,24719830,33114922,117280
87,random,out.actor-movie-swap.txt,8,4141878,33114922,3203900
88,entropy,out.github,8,36078428,72504646,62200
89,HYPE,out.github,8,19140832,72504646,104456
90,MinMax,out.github,8,16414772,72504646,195388
91,KaHyPar,out.github,8,29250316,72504646,52148
92,random,out.github,8,9079118,72504646,446188
93,entropy,out.dbpedia-location-swap.txt,8,241516,336286,54512
94,HYPE,out.dbpedia-location-swap.txt,8,173056,336286,113402
95,MinMax,out.dbpedia-location-swap.txt,8,161222,336286,118656
96,KaHyPar,out.dbpedia-location-swap.txt,8,314530,336286,8884
97,random,out.dbpedia-location-swap.txt,8,43370,336286,249460
98,entropy,out.orkut-groupmemberships-swap.txt,8,124436986940,156253011524,27666666
99,HYPE,out.orkut-groupmemberships-swap.txt,8,32485603592,156253011524,54646438
100,MinMax,out.orkut-groupmemberships-swap.txt,8,52016534694,156253011524,66818818
101,random,out.orkut-groupmemberships-swap.txt,8,19537288674,156253011524,114508578
102,entropy,out.trackers-swap.txt,8,477886460086,1733537480762,5729376
103,HYPE,out.trackers-swap.txt,8,286559494100,1733537480762,10734270
104,MinMax,out.trackers-swap.txt,8,234363693000,1733537480762,79468288
105,random,out.trackers-swap.txt,8,216688764464,1733537480762,215269388
106,entropy,out.dbpedia-team-swap.txt,8,2459082,3176572,131646
107,HYPE,out.dbpedia-team-swap.txt,8,1746388,3176572,264694
108,MinMax,out.dbpedia-team-swap.txt,8,1254398,3176572,523554
109,KaHyPar,out.dbpedia-team-swap.txt,8,2656462,3176572,78212
110,random,out.dbpedia-team-swap.txt,8,395212,3176572,1410726
111,entropy,wiki_new.txt-swap.txt,8,2172230,5667296,66092
112,HYPE,wiki_new.txt-swap.txt,8,1135894,5667296,120540
113,MinMax,wiki_new.txt-swap.txt,8,1063660,5667296,129752
114,KaHyPar,wiki_new.txt-swap.txt,8,2092602,5667296,43320
115,random,wiki_new.txt-swap.txt,8,705034,5667296,192086
116,entropy,out.dblp-author-swap.txt,8,170370036,611985702,2797948
117,HYPE,out.dblp-author-swap.txt,8,233409324,611985702,3580808
118,MinMax,out.dblp-author-swap.txt,8,109231622,611985702,7261836
119,random,out.dblp-author-swap.txt,8,76509016,611985702,19249630
120,entropy,out.trackers,8,32509747817598,211149810420152,2655414
121,HYPE,out.trackers,8,31759001696002,211149810420152,3732834
122,MinMax,out.trackers,8,26592635454476,211149810420152,19364286
123,random,out.trackers,8,26393721812984,211149810420152,61598278
124,entropy,out.github-swap.txt,8,21642130,33640832,69686
125,HYPE,out.github-swap.txt,8,10351186,33640832,123520
126,MinMax,out.github-swap.txt,8,7973252,33640832,254362
127,KaHyPar,out.github-swap.txt,8,15145336,33640832,65602
128,random,out.github-swap.txt,8,4214596,33640832,611506
129,entropy,out.actor-movie,8,16977068,45853252,471196
130,HYPE,out.actor-movie,8,20415602,45853252,682008
131,MinMax,out.actor-movie,8,9929172,45853252,1207752
132,KaHyPar,out.actor-movie,8,36093590,45853252,112192
133,random,out.actor-movie,8,5729484,45853252,2137038
