
data_set:out.github n:56519 m:120867
 p , k-1 , partition time , total time  
2,4688,434,1122
4,17178,469,1239
8,34439,509,1269
16,55339,472,1128
32,79384,242,847
64,106763,404,1246
128,136213,401,1159
256,164411,359,1107

data_set:out.github-swap.txt n:120867 m:56519
 p , k-1 , partition time , total time  
2,10927,535,1167
4,20882,577,1293
8,35637,564,1282
16,55938,287,782
32,82768,442,1110
64,113421,448,1087
128,146440,400,1067
256,173283,467,1205

data_set:out.actor-movie n:127823 m:383640
 p , k-1 , partition time , total time  
2,35292,1197,3265
4,100648,858,2441
8,189500,913,2463
16,288691,862,2462
32,395094,788,2202
64,499188,1078,2967
128,588347,1013,2789
256,664884,1008,2881

data_set:out.actor-movie-swap.txt n:383640 m:127823
 p , k-1 , partition time , total time  
2,34956,1679,3592
4,87174,1775,3664
8,160529,1754,3666
16,271073,1710,3422
32,404833,1160,2662
64,516085,1171,2810
128,609692,1043,2373
256,692144,1083,2586

data_set:out.dblp-author n:1953085 m:5624219
 p , k-1 , partition time , total time  
2,767580,12316,29765
4,1370008,12587,29821
8,2142201,12017,27900
16,2785249,22439,40998
32,3225521,17890,36829
64,3490839,13858,30493
128,3649036,18758,38303
256,3734025,16339,38717

data_set:out.dblp-author-swap.txt n:5623931 m:1953085
 p , k-1 , partition time , total time  
2,340459,23784,43067
4,641526,24940,44010
8,971965,25098,43758
16,1276793,29384,48015
32,1550061,20624,37768
64,1768710,19439,37976
128,1937642,18148,34858
256,2057772,22441,40935

data_set:reuters.txt n:781265 m:283911
 p , k-1 , partition time , total time  
2,64121,36757,131594
4,159993,35633,127108
8,304953,46592,128171
16,523017,36699,128961
32,848590,36972,129040
64,1333248,30374,120352
128,2038554,37021,129171
256,3050714,35445,129636

data_set:reuters-swap.txt n:283911 m:781265
 p , k-1 , partition time , total time  
2,160324,97945,192639
4,477196,94606,185640
8,1046364,97394,195022
16,1877496,106920,199607
32,3182636,73524,164932
64,5102140,91300,184107
128,7676261,88215,173744
256,11455659,91906,176665

data_set:out.trackers n:27665730 m:12756244
 p , k-1 , partition time , total time  
2,480498,174408,401905
4,897154,162038,376729
8,1423082,172262,381702
16,2179620,173761,383357
32,3222469,158267,371354
64,4592395,166130,396819
128,6359910,175965,387785
256,8445156,177379,387171

data_set:out.trackers-swap.txt n:12756244 m:27665730
 p , k-1 , partition time , total time  
2,2121275,172582,377140
4,3096752,210035,422256
8,4544180,178789,391313
16,6487482,213104,432015
32,8945905,210341,448207
64,11821276,215122,428979
128,15136184,183770,404382
256,18941919,227624,457731

data_set:out.orkut-groupmemberships n:2783196 m:8730857
 p , k-1 , partition time , total time  
2,4539542,204662,812655
4,10429716,206260,802264
8,18469045,215125,812683
16,29083035,217530,827600
32,41673821,232848,801352
64,56477606,248571,864578
128,72902664,218506,834904
256,91690038,244482,930299

data_set:out.orkut-groupmemberships-swap.txt n:8730857 m:2783196
 p , k-1 , partition time , total time  
2,1461928,474172,1188243
4,3865476,417138,1038704
8,8135308,426003,1045690
16,15578996,450539,1128063
32,28323361,529648,1223915
64,49486157,563735,1270948
128,81441003,587296,1291676
256,124286260,605505,1325233

data_set:enwiki.txt n:8116897 m:42513754
 p , k-1 , partition time , total time  
2,1598335,513827,1347903
4,3382582,491067,1272919
8,5994500,513672,1293900
16,9674274,572337,1332392
32,14583499,502592,1279736
64,21105904,518208,1312921
128,29590303,471072,1237356
256,40333535,403037,1133068

data_set:enwiki-swap.txt n:42513754 m:8116897
 p , k-1 , partition time , total time  
2,305908,335219,1104522
4,587504,336979,1087225
8,1166520,308850,1042509
16,2280592,344041,1144842
32,3938693,342988,1095655
64,6269441,349759,1117931
128,9441580,306882,1039295
256,13647642,355883,1117966
