
# MIN-MAX  - dataset:out.github n:56519 m:120867
# p , k-1 ,  total time 
2,10388, ,949
4,27512, ,991
8,45738, ,1426
16,59544, ,2301
32,79698, ,3804
64,103887, ,6175
128,125706, ,10701
256,152455, ,17806

# MIN-MAX  - dataset:out.github-swap.txt n:120867 m:56519
# p , k-1 ,  total time 
2,16429, ,806
4,29396, ,1091
8,39822, ,1655
16,65969, ,2479
32,85336, ,4088
64,113159, ,6881
128,136691, ,11272
256,166838, ,19825

# MIN-MAX  - dataset:out.actor-movie n:127823 m:383640
# p , k-1 ,  total time 
2,69477, ,2940
4,129938, ,4331
8,186185, ,6802
16,226626, ,11437
32,308095, ,20461
64,379735, ,59478
128,449617, ,83424
256,534530, ,97311

# MIN-MAX  - dataset:out.actor-movie-swap.txt n:383640 m:127823
# p , k-1 ,  total time 
2,54060, ,3502
4,130038, ,4743
8,174931, ,7608
16,282594, ,11565
32,348775, ,19256
64,421704, ,33347
128,488119, ,61975
256,588345, ,100773

# MIN-MAX  - dataset:out.dblp-author-swap.txt n:5623931 m:1953085
# p , k-1 ,  total time 
2,748955, ,51396
4,1382508, ,73898
8,1887953, ,112097
16,2271269, ,216729
32,2571688, ,320561
64,2784645, ,591585
128,2929496, ,1090264
256,3029677, ,1882244

# MIN-MAX  - dataset:reuters.txt n:781265 m:283911
# p , k-1 ,  total time 
2,84834, ,80653
4,189403, ,116321
8,332580, ,195188
16,513941, ,376463
32,740529, ,799315
64,1107213, ,1601733
128,1681815, ,3068966
256,2500751, ,6082403

# MIN-MAX  - dataset:reuters-swap.txt n:283911 m:781265
# p , k-1 ,  total time 
2,778364, ,109741
4,1671138, ,166953
8,2952858, ,284817
16,5283079, ,460918
32,9363044, ,756663
64,14928468, ,1226825
128,23227860, ,1960012
256,30933672, ,3182570

# MIN-MAX  - dataset:out.trackers n:27665730 m:12756244
# p , k-1 ,  total time 
2,1150980, ,396715
4,3644197, ,501597
8,5138330, ,722552
16,5814882, ,1116162
32,5950160, ,1943065
64,7668463, ,3550810
128,9863179, ,6381571


# MIN-MAX  - dataset:out.dblp-author n:1953085 m:5624219
# p , k-1 ,  total time 
2,944323, ,46714
4,1741509, ,70449
8,2267524, ,104668
16,2660086, ,181784
32,2905465, ,332504
64,3004063, ,606847
128,3152952, ,1079358
256,3235319, ,1906601

# MIN-MAX  - dataset:out.orkut-groupmemberships n:2783196 m:8730857
# p , k-1 ,  total time 
2,4774389, ,834871
4,9016795, ,1347911
8,12899016, ,2371818
16,19920582, ,4444555
32,27615069, ,9034704
64,37737916, ,14590562
128,49254575, ,26884218
256,62378745, ,53238263

# MIN-MAX  - dataset:enwiki.txt n:8116897 m:42640545
# p , k-1 ,  total time 
2,9284999, ,1178019
4,14488556, ,1722660
8,18920623, ,2868549
16,38955439, ,4238854
32,59456031, ,7006816
64,80443110, ,12760197
128,101886081, ,22669990
256,122970041, ,38519659
