# dataset:out.github n:56524 m:120872
# p , k-1 , partition time , total time 
2,6476,357,357
4,13370,348,348
8,24767,357,357
16,39357,379,379
32,55903,433,433
64,73997,503,503
128,92969,603,603
256,114461,736,736

# dataset:out.github-swap.txt n:120872 m:56524
# p , k-1 , partition time , total time 
2,11039,472,472
4,19499,473,473
8,25697,462,462
16,34996,486,486
32,47850,528,528
64,62785,597,597
128,80082,691,691
256,98177,805,805

# dataset:out.actor-movie n:127828 m:383645
# p , k-1 , partition time , total time 
2,57628,1403,1403
4,116880,1409,1409
8,153890,1413,1413
16,200920,1439,1439
32,238510,1492,1492
64,307119,1626,1626
128,361980,1724,1724
256,444280,1947,1947

# dataset:out.actor-movie-swap.txt n:383645 m:127828
# p , k-1 , partition time , total time 
2,39250,1690,1690
4,67456,1693,1693
8,121984,1755,1755
16,190414,1891,1891
32,250507,2082,2082
64,299142,2143,2143
128,346903,2230,2230
256,403031,2380,2380

# dataset:out.dblp-author n:1953090 m:5624224
# p , k-1 , partition time , total time 
2,488726,17998,17998
4,969257,18479,18479
8,1445397,18533,18533
16,1908990,16718,16718
32,2279796,14875,14875
64,2522819,14668,14668
128,2676375,14229,14229
256,2773359,13990,13990

# dataset:out.dblp-author-swap.txt n:5623936 m:1953090
# p , k-1 , partition time , total time 
2,530250,23818,23818
4,1019499,25582,25582
8,1142424,27292,27292
16,1294859,28070,28070
32,1491940,28034,28034
64,1702526,27611,27611
128,1854912,26903,26903
256,1988432,27262,27262

# dataset:reuters.txt n:781270 m:283916
# p , k-1 , partition time , total time 
2,97955,64012,64012
4,226644,84905,84905
8,427819,123473,123473
16,717540,201183,201183
32,1096858,344252,344252
64,1563946,621304,621304
128,2121593,1180409,1180409
256,2820357,3222338,3222338

# dataset:reuters-swap.txt n:283916 m:781270
# p , k-1 , partition time , total time 
2,97171,39515,39515
4,262827,39004,39004
8,542514,38019,38019
16,983806,39005,39005
32,1635034,41553,41553
64,2565042,46368,46368
128,3856438,55049,55049
256,5631934,69998,69998

# dataset:out.trackers n:27665735 m:12756249
# p , k-1 , partition time , total time 
2,484156,317230,317230
4,1036109,340017,340017
8,1778793,367908,367908
16,2618295,496705,496705
32,3495652,756533,756533
64,4518485,1261773,1261773
128,5656141,2183347,2183347
256,6899560,3906222,3906222

# dataset:out.trackers-swap.txt n:12756249 m:27665735
# p , k-1 , partition time , total time 
2,1330144,173030,173030
4,1607255,168626,168626
8,2737866,169541,169541
16,3857293,174997,174997
32,5202236,184777,184777
64,6774912,199375,199375
128,8591316,223968,223968
256,10571403,253051,253051

# dataset:out.orkut-groupmemberships n:2783201 m:8730862
# p , k-1 , partition time , total time 
2,725370,533247,533247
4,5424059,486454,486454
8,12176093,617441,617441
16,20446808,918036,918036
32,30030771,1399455,1399455
64,40065694,2096690,2096690
128,50392339,3670176,3670176
256,61407629,6507574,6507574

# dataset:out.orkut-groupmemberships-swap.txt n:8730862 m:2783201
# p , k-1 , partition time , total time 
2,997680,542953,542953
4,3127097,541497,541497
8,5884337,561172,561172
16,9603011,632540,632540
32,14330049,697641,697641
64,20353219,1006908,1006908
128,27155140,1571849,1571849
256,35418043,2111457,2111457

# dataset:enwiki.txt n:8116902 m:42640550
# p , k-1 , partition time , total time 
2,973937,459023,459023
4,2047112,418799,418799
8,3433717,411021,411021
16,5327866,434986,434986
32,7762145,473029,473029
64,10878376,490261,490261
128,15082487,652774,652774
256,20775250,774076,774076

# dataset:enwiki-swap.txt n:42640550 m:8116902
# p , k-1 , partition time , total time 
2,277125,937627,937627
4,991821,861479,861479
8,1837201,811036,811036
16,2944246,1042108,1042108
32,4463794,1511074,1511074
64,6361660,2558599,2558599
128,8735560,4429883,4429883
256,11665845,7690531,7690531

