# dataset:out.github n:56524 m:120872
# p , k-1 , partition time , total time 
2,3813,282,282
4,12230,270,270
8,24144,286,286
16,39248,314,314
32,56049,362,362
64,73747,427,427
128,93795,525,525
256,114752,650,650

# dataset:out.github-swap.txt n:120872 m:56524
# p , k-1 , partition time , total time 
2,11328,338,338
4,19867,336,336
8,25410,345,345
16,34944,371,371
32,47911,423,423
64,63025,472,472
128,80060,549,549
256,99047,647,647

# dataset:out.actor-movie n:127828 m:383645
# p , k-1 , partition time , total time 
2,52983,982,982
4,112773,1063,1063
8,154542,1155,1155
16,197347,1214,1214
32,238765,1302,1302
64,302248,1424,1424
128,361041,1521,1521
256,443435,1697,1697

# dataset:out.actor-movie-swap.txt n:383645 m:127828
# p , k-1 , partition time , total time 
2,37941,1151,1151
4,69982,1163,1163
8,122220,1277,1277
16,191784,1428,1428
32,250713,1583,1583
64,293545,1679,1679
128,353204,1786,1786
256,410413,1916,1916

# dataset:out.dblp-author n:1953090 m:5624224
# p , k-1 , partition time , total time 
2,455340,14775,14775
4,932162,14632,14632
8,1406026,14731,14731
16,1889999,14140,14140
32,2274883,13915,13915
64,2518880,13580,13580
128,2676076,13133,13133
256,2771823,12721,12721

# dataset:out.dblp-author-swap.txt n:5623936 m:1953090
# p , k-1 , partition time , total time 
2,712231,20619,20619
4,986676,21986,21986
8,1109320,23226,23226
16,1304100,28906,28906
32,1489922,28925,28925
64,1700317,28809,28809
128,1851568,27966,27966
256,1985805,26014,26014

# dataset:reuters.txt n:781270 m:283916
# p , k-1 , partition time , total time 
2,88939,65180,65180
4,229446,90197,90197
8,436297,142531,142531
16,727470,247915,247915
32,1102938,459218,459218
64,1566898,872808,872808
128,2126262,1665661,1665661
256,2825494,3149085,3149085

# dataset:reuters-swap.txt n:283916 m:781270
# p , k-1 , partition time , total time 
2,106689,35140,35140
4,252806,35292,35292
8,538883,36030,36030
16,982181,37536,37536
32,1634299,40322,40322
64,2568329,45037,45037
128,3872453,53604,53604
256,5645138,68114,68114

# dataset:out.trackers n:27665735 m:12756249
# p , k-1 , partition time , total time 
2,428212,239694,239694
4,1100511,277544,277544
8,1818414,350533,350533
16,2631359,488722,488722
32,3501279,750527,750527
64,4515355,1237430,1237430
128,5649939,2274305,2274305
256,6891020,3837571,3837571

# dataset:out.trackers-swap.txt n:12756249 m:27665735
# p , k-1 , partition time , total time 
2,121365,155628,155628
4,1653000,157258,157258
8,2712872,159156,159156
16,3848010,164202,164202
32,5207822,173569,173569
64,6792018,187453,187453
128,8600892,205337,205337
256,10581313,229111,229111

# dataset:out.orkut-groupmemberships n:2783201 m:8730862
# p , k-1 , partition time , total time 
2,1439981,434683,434683
4,5659010,506610,506610
8,12270938,653517,653517
16,20462463,946596,946596
32,29984676,1494515,1494515
64,40100162,2432588,2432588
128,50439603,4031233,4031233
256,61297150,6056292,6056292

# dataset:out.orkut-groupmemberships-swap.txt n:8730862 m:2783201
# p , k-1 , partition time , total time 
2,1277990,340979,340979
4,3282748,372478,372478
8,5917134,431717,431717
16,9661962,521513,521513
32,14599328,672151,672151
64,20463567,992760,992760
128,27233719,1317924,1317924
256,35682304,1815318,1815318

# dataset:enwiki.txt n:8116902 m:42640550
# p , k-1 , partition time , total time 
2,952197,386846,386846
4,2024232,375246,375246
8,3469313,385039,385039
16,5344695,403163,403163
32,7776167,430242,430242
64,10915943,466469,466469
128,15083900,528276,528276
256,20758424,620675,620675

# dataset:enwiki-swap.txt n:42640550 m:8116902
# p , k-1 , partition time , total time 
2,243982,562673,562673
4,1091011,608887,608887
8,1851265,738658,738658
16,2955503,1001205,1001205
32,4470086,1496742,1496742
64,6364817,2684024,2684024
128,8737709,5024418,5024418
256,11668132,8715573,8715573

