# dataset:out.github n:56524 m:120872
# p , k-1 , partition time , total time 
2,27543,240,240
4,57552,278,278
8,88803,259,259
16,122263,272,272
32,156519,288,288
64,191439,385,385
128,224266,377,377
256,252880,342,342

# dataset:out.github-swap.txt n:120872 m:56524
# p , k-1 , partition time , total time 
2,26292,275,275
4,61071,232,232
8,104610,202,202
16,155987,238,238
32,209930,267,267
64,261364,304,304
128,304210,262,262
256,334934,252,252

# dataset:out.actor-movie n:127828 m:383645
# p , k-1 , partition time , total time 
2,107605,789,789
4,239214,747,747
8,391846,779,779
16,555436,915,915
32,713158,874,874
64,846500,933,933
128,944490,986,986
256,1007638,1004,1004

# dataset:out.actor-movie-swap.txt n:383645 m:127828
# p , k-1 , partition time , total time 
2,110335,594,594
4,284758,664,664
8,514131,821,821
16,758567,916,916
32,971851,1052,1052
64,1127127,1165,1165
128,1225492,1140,1140
256,1281027,1139,1139

# dataset:out.dblp-author n:1953090 m:5624224
# p , k-1 , partition time , total time 
2,2096724,11946,11946
4,3878884,11941,11941
8,5092066,12374,12374
16,5815201,13288,13288
32,6222616,13701,13701
64,6435168,13776,13776
128,6544666,13402,13402
256,6600643,13365,13365

# dataset:out.dblp-author-swap.txt n:5623936 m:1953090
# p , k-1 , partition time , total time 
2,1336567,11082,11082
4,2691282,11842,11842
8,4066518,13074,13074
16,5429407,14899,14899
32,6716501,15104,15104
64,7847384,15291,15291
128,8749713,15796,15796
256,9394054,16913,16914

# dataset:reuters.txt n:781270 m:283916
# p , k-1 , partition time , total time 
2,141492,14778,14778
4,344940,15436,15436
8,635305,15924,15924
16,1044284,17688,17688
32,1617071,19058,19058
64,2409518,19977,19977
128,3500814,20391,20391
256,4989202,22343,22343

# dataset:reuters-swap.txt n:283916 m:781270
# p , k-1 , partition time , total time 
2,781259,17246,17246
4,2341171,19088,19088
8,5384947,20172,20172
16,10880989,21094,21094
32,19310554,22348,22348
64,29884318,23293,23293
128,40285271,25596,25596
256,48531842,25677,25677

# dataset:out.trackers n:27665735 m:12756249
# p , k-1 , partition time , total time 
2,3665527,82409,82409
4,7738701,88835,88835
8,12125895,95165,95165
16,16712794,99685,99685
32,21486141,103254,103254
64,26297070,102996,102996
128,31073575,108571,108571
256,35702655,116151,116151

# dataset:out.trackers-swap.txt n:12756249 m:27665735
# p , k-1 , partition time , total time 
2,15286895,89847,89847
4,32034815,100605,100605
8,48193242,108147,108147
16,57896501,112094,112094
32,69408285,117511,117511
64,75040745,113553,113553
128,81950256,111920,111920
256,87003368,112920,112920

# dataset:out.orkut-groupmemberships n:2783201 m:8730862
# p , k-1 , partition time , total time 
2,5726780,174204,174204
4,13879396,187372,187372
8,24514716,195024,195024
16,37414094,200162,200162
32,52343344,220171,220171
64,69241617,224146,224146
128,88149300,232292,232292
256,109077949,235014,235014

# dataset:out.orkut-groupmemberships-swap.txt n:8730862 m:2783201
# p , k-1 , partition time , total time 
2,2598080,167407,167407
4,7348295,166892,166892
8,15530797,176972,176972
16,28786052,179621,179621
32,49272123,197628,197628
64,79446211,205636,205636
128,120848814,218861,218861
256,171128105,222524,222524

# dataset:enwiki.txt n:8116902 m:42640550
# p , k-1 , partition time , total time 
2,16828780,225890,225890
4,37895142,233482,233482
8,62315476,244585,244585
16,90055470,247414,247414
32,117498786,251892,251892
64,141245447,256069,256069
128,163766160,251690,251690
256,179998205,252692,252692

# dataset:enwiki-swap.txt n:42640550 m:8116902
# p , k-1 , partition time , total time 
2,2499530,195406,195406
4,5380263,206668,206668
8,8663637,217529,217529
16,12415322,220517,220517
32,16760738,239690,239690
64,21893396,245075,245075
128,28078859,246908,246908
256,35656960,253945,253945

