# dataset:../data/wiki_new.txt n:4571 m:4136
# p , k-1 , partition time , total time 
2,3066,246,246
4,7759,339,339
8,14055,546,546
16,20969,777,777
32,28260,1205,1205
64,36862,1823,1823

# dataset:../data/wiki_new.txt-swap.txt n:4136 m:4571
# p , k-1 , partition time , total time 
2,3259,228,228
4,8029,263,263
8,14319,315,315
16,22134,409,409
32,30555,551,551
64,39481,794,794

# dataset:../data/out.dbpedia-location n:172096 m:53412
# p , k-1 , partition time , total time 
2,3540,1082,1082
4,5501,1364,1364
8,5975,1305,1305
16,5951,1345,1345
32,6269,1625,1625
64,6771,1840,1840

# dataset:../data/out.dbpedia-location-swap.txt n:53412 m:172096
# p , k-1 , partition time , total time 
2,8864,601,601
4,19576,600,600
8,27360,611,611
16,33058,595,595
32,38676,535,535
64,42096,549,549

# dataset:../data/out.github n:56524 m:120872
# p , k-1 , partition time , total time 
2,4164,1191,1191
4,12920,1294,1294
8,25694,1188,1188
16,41045,1215,1215
32,57677,1582,1582
64,74551,2178,2178

# dataset:../data/out.github-swap.txt n:120872 m:56524
# p , k-1 , partition time , total time 
2,11665,1475,1475
4,20394,1234,1234
8,25576,1434,1434
16,34512,1516,1516
32,45419,1737,1737
64,58360,1874,1874

# dataset:../data/out.actor-movie n:127828 m:383645
# p , k-1 , partition time , total time 
2,59289,3138,3138
4,121827,3962,3962
8,162914,4621,4621
16,211708,5686,5686
32,248688,6990,6990
64,296336,7447,7447

# dataset:../data/out.actor-movie-swap.txt n:383645 m:127828
# p , k-1 , partition time , total time 
2,43557,4629,4629
# dataset:../data/wiki_new.txt n:4571 m:4136
# p , k-1 , partition time , total time 
2,2453,311,311
4,7194,402,402
8,13808,461,461
16,20825,706,706
32,28445,1009,1009
64,36673,1832,1832

# dataset:../data/wiki_new.txt-swap.txt n:4136 m:4571
# p , k-1 , partition time , total time 
2,2905,336,336
4,7914,314,314
8,14485,406,406
16,21964,527,527
32,30564,694,694
64,39438,958,958

# dataset:../data/out.dbpedia-location n:172096 m:53412
# p , k-1 , partition time , total time 
2,1228,1507,1507
4,4037,1372,1372
8,5607,1412,1412
16,5763,1468,1468
32,6232,1470,1470
64,6584,1771,1771

# dataset:../data/out.dbpedia-location-swap.txt n:53412 m:172096
# p , k-1 , partition time , total time 
2,15091,617,617
4,20296,624,624
8,28096,621,621
16,33643,669,669
32,39246,662,662
64,41968,618,618

# dataset:../data/out.github n:56524 m:120872
# p , k-1 , partition time , total time 
2,6569,1093,1093
4,13242,1031,1031
8,25698,1077,1077
16,40956,1202,1202
32,57491,1633,1633
64,74516,2161,2161

# dataset:../data/out.github-swap.txt n:120872 m:56524
# p , k-1 , partition time , total time 
2,9871,1510,1510
4,19772,1561,1561
8,25319,1592,1592
16,34390,1594,1594
32,45331,2102,2102
64,58280,2304,2304

# dataset:../data/out.actor-movie n:127828 m:383645
# p , k-1 , partition time , total time 
2,42474,4021,4021
4,113496,4361,4361
8,159183,4642,4642
16,208273,5282,5282
32,246255,5782,5782
64,294115,6460,6460

# dataset:../data/out.actor-movie-swap.txt n:383645 m:127828
# p , k-1 , partition time , total time 
2,25716,4598,4598
4,67842,4797,4797
8,119015,5847,5847
16,180480,6909,6909
32,231801,8775,8775
64,280842,10010,10010

# dataset:../data/out.dbpedia-team n:901171 m:34466
# p , k-1 , partition time , total time 
2,2833,7577,7577
4,11465,8474,8474
8,19298,8557,8557
# dataset:../data/wiki_new.txt n:4571 m:4136
# p , k-1 , partition time , total time 
2,2988,275,275
4,7522,290,290
8,13223,450,450
16,19725,797,797
32,27261,1229,1229
64,35105,1736,1736

# dataset:../data/wiki_new.txt-swap.txt n:4136 m:4571
# p , k-1 , partition time , total time 
2,3216,210,210
4,7882,235,235
8,14036,310,310
16,21637,434,434
32,29947,610,610
64,39025,902,902

# dataset:../data/out.dbpedia-location n:172096 m:53412
# p , k-1 , partition time , total time 
2,338,1248,1248
4,995,1309,1309
8,1955,1689,1689
16,2188,1829,1829
begin solve ../data/wiki_new.txt
load data ok!
runtime:174
par:0 size:2260 edge:3637
par:1 size:2306 edge:3345
------------
begin solve ../data/wiki_new.txt
load data ok!
runtime:272
par:0 size:1108 edge:3111
