# MIN-MAX  - dataset:wiki_new.txt n:4566 m:4131
# p , k-1 ,  total time 
2,2851,154

4,7111,211

8,13024,321

16,22177,468

32,35110,675

64,54139,769

# MIN-MAX  - dataset:wiki_new.txt-swap.txt n:4131 m:4566
# p , k-1 ,  total time 
2,3837,165

4,10741,233

8,21102,282

16,34472,483

32,52187,592

64,70883,942

# MIN-MAX  - dataset:out.dbpedia-location n:172091 m:53407
# p , k-1 ,  total time 
2,8424,783

4,16295,1009

8,23887,1325

16,32924,1731

32,49300,2234

64,83694,2754

# MIN-MAX  - dataset:out.dbpedia-location-swap.txt n:53407 m:172091
# p , k-1 ,  total time 
2,24147,588

4,38156,799

8,59952,998

16,62577,1494

32,76574,1914

64,95422,2188

# MIN-MAX  - dataset:out.github n:56519 m:120867
# p , k-1 ,  total time 
2,11312,804

4,30203,1014

8,52215,1483

16,78402,2299

32,112299,3145

64,163823,3951

# MIN-MAX  - dataset:out.github-swap.txt n:120867 m:56519
# p , k-1 ,  total time 
2,18728,943

4,29954,1255

8,57403,1766

16,90699,2535

32,136982,3450

64,211671,4009

# MIN-MAX  - dataset:out.actor-movie n:127823 m:383640
# p , k-1 ,  total time 
2,79378,3142

4,165933,4289

8,252879,6775

16,388136,10651

32,547089,13866

64,739922,17800

# MIN-MAX  - dataset:out.actor-movie-swap.txt n:383640 m:127823
# p , k-1 ,  total time 
2,80742,4355

4,176181,5140

8,292117,7795

16,437624,11651

32,634946,16682

64,933968,21751

# MIN-MAX  - dataset:out.dbpedia-team n:901166 m:34461
# p , k-1 ,  total time 
2,13779,4572

4,31881,5926

8,57430,7191

16,99739,9241

32,178184,16133

64,333352,20005

# MIN-MAX  - dataset:out.dbpedia-team-swap.txt n:34461 m:901166
# p , k-1 ,  total time 
2,41601,3299

4,86085,4539

8,160551,6082

16,221633,8209

32,290841,11115

64,381373,12632

