
data_set:out.github n:56519 m:120867
 p , k-1 , partition time , total time  
2,4688,473,1528
4,17178,467,1515
8,34439,487,1573
16,55339,642,1494
32,79384,344,1190
64,106763,428,1426
128,136213,476,1534
256,164411,389,1302

data_set:out.github-swap.txt n:120867 m:56519
 p , k-1 , partition time , total time  
2,10927,775,1798
4,20882,447,1191
8,35637,615,1549
16,55938,534,1515
32,82768,514,1486
64,113421,602,1660
128,146440,543,1558
256,173283,602,1558

data_set:out.actor-movie n:127823 m:383640
 p , k-1 , partition time , total time  
2,35292,1831,4674
4,100648,1836,4875
8,189500,1622,4395
16,288691,1566,4548
32,395094,1416,4060
64,499188,1351,4210
128,588347,1159,4037
256,664884,1107,3427

data_set:out.actor-movie-swap.txt n:383640 m:127823
 p , k-1 , partition time , total time  
2,34956,1881,4258
4,87174,2176,5079
8,160529,2266,5141
16,271073,1882,4659
32,404833,2247,4833
64,516085,1921,4625
128,609692,1829,4433
256,692144,1731,4228

data_set:out.dbpedia-team n:901130 m:34461
 p , k-1 , partition time , total time  
2,5501,3605,6285
4,12048,3322,6249
8,22755,3393,6128
16,38350,3523,6309
32,61679,2811,5512
64,90829,3208,5875
128,124523,2826,5558
256,160314,2767,5752

data_set:out.dbpedia-team-swap.txt n:34461 m:901130
 p , k-1 , partition time , total time  
2,15502,1702,4257
4,44517,1328,4151
8,99495,1648,4099
16,152716,1978,4744
32,208124,1723,4534
64,243315,1402,3793
128,267969,1396,4116
256,290673,1344,4151
