
# MIN-MAX  - dataset:wiki_new.txt n:4566 m:4131
# p , k-1 ,  total time 
2,2851,223
4,7111,299
8,13024,493
16,22177,697
32,35110,775
64,54139,899
128,71843,772
256,71649,1707

# MIN-MAX  - dataset:wiki_new.txt-swap.txt n:4131 m:4566
# p , k-1 ,  total time 
2,4265,187
4,10120,243
8,19517,394
16,34516,520
32,51274,702
64,73563,822
128,92850,723
256,92587,1629

# MIN-MAX  - dataset:out.dbpedia-location n:172091 m:53407
# p , k-1 ,  total time 
2,8242,911
4,16395,1386
8,24092,1456
16,33247,2059
32,49171,2826
64,83697,3438
128,127690,2604
256,127440,5627

# MIN-MAX  - dataset:out.dbpedia-location-swap.txt n:53407 m:172091
# p , k-1 ,  total time 
2,32616,795
4,32763,1045
8,50332,1372
16,62658,2103
32,79128,2612
64,96347,3544
128,120010,2088
256,119594,4602

# MIN-MAX  - dataset:out.github n:56519 m:120867
# p , k-1 ,  total time 
2,12754,1079
4,33994,1361
8,48910,1991
16,76392,3288
32,113520,4618
64,163571,6276
128,212643,3084
256,213001,6904

# MIN-MAX  - dataset:out.github-swap.txt n:120867 m:56519
# p , k-1 ,  total time 
2,14760,1452
4,33712,1731
8,57883,2533
16,88735,3489
32,135034,5166
64,210292,7692
128,289866,3856
256,289125,7726

# MIN-MAX  - dataset:out.actor-movie n:127823 m:383640
# p , k-1 ,  total time 
2,71099,5173
4,171531,7707
8,271888,12241
16,387670,15903
32,544808,23105
64,740938,30239
128,913597,10540
256,913415,22323

# MIN-MAX  - dataset:out.actor-movie-swap.txt n:383640 m:127823
# p , k-1 ,  total time 
2,81813,6429
4,172077,8225
8,287719,12377
16,425751,16531
32,640098,26248
64,934855,30483
128,1195855,11903
256,1195829,23971

# MIN-MAX  - dataset:out.dbpedia-team n:901166 m:34461
# p , k-1 ,  total time 
2,13779,5799
4,31581,6509
8,57157,10090
16,99881,14576
32,178277,23592
64,332978,29332
128,514842,13203
256,514731,27353

# MIN-MAX  - dataset:out.dbpedia-team-swap.txt n:34461 m:901166
# p , k-1 ,  total time 
2,52310,3513
4,65775,5185
8,135878,7542
16,214342,11079
32,273818,15599
64,379898,16636
128,449328,8484
256,449733,22904

# MIN-MAX  - dataset:out.dblp-author n:1953085 m:5624219
# p , k-1 ,  total time 
2,1006087,62244
4,2004972,116630
8,2719168,189359
16,3376294,286876
32,4088042,275240
64,5200509,236093
128,6512354,91166
256,6512989,197468

# MIN-MAX  - dataset:out.dblp-author-swap.txt n:5623931 m:1953085
# p , k-1 ,  total time 
2,763963,59343
4,1455617,78279
8,2102766,111637
16,2817769,167078
32,3876155,235841
64,5910189,254353
128,8456650,112742
256,8456253,234326

# MIN-MAX  - dataset:out.orkut-groupmemberships n:2783196 m:8730857
# p , k-1 ,  total time 
2,4812526,1030025
4,10082351,1647336
8,18032597,2845868
16,28971004,5462898
32,43662684,6179926
64,63833361,13264034
128,81179051,2023870
256,81169415,3918716

# MIN-MAX  - dataset:out.orkut-groupmemberships-swap.txt n:8730857 m:2783196
# p , k-1 ,  total time 
2,2201657,1020428
4,5313758,1299466
8,10731381,2119636
16,19967680,3330670
32,38690994,5259897
64,71175837,5955757
128,104872699,1844644
256,104791411,3406367

# MIN-MAX  - dataset:out.trackers n:27665730 m:12756244
# p , k-1 ,  total time 
2,1348885,409328
4,4059820,500487
8,6136281,741489
16,8529696,1130126
32,13546055,1746473
64,21445301,2028594
128,29340368,793402
256,29355242,1576100

# MIN-MAX  - dataset:out.trackers-swap.txt n:12756244 m:27665730
# p , k-1 ,  total time 
2,5211076,512925
4,14702071,700743
8,26975254,908893
16,30216805,1378480
32,46011061,2184463
64,63872668,2196052
128,80360704,746765
256,80316551,1489030
