# dataset:wiki_new.txt n:4571 m:4136
# p , k-1 , partition time , total time 
2,2860,128,128
4,7023,155,155
8,13356,195,195
16,19950,271,271
32,27880,385,385
64,35437,531,531
128,44904,688,688
256,55166,820,820

# dataset:wiki_new.txt-swap.txt n:4136 m:4571
# p , k-1 , partition time , total time 
2,3047,105,105
4,7887,126,126
8,14493,114,114
16,21851,168,168
32,30176,231,231
64,39295,316,316
128,48894,377,377
256,59081,446,446

# dataset:out.dbpedia-location n:172096 m:53412
# p , k-1 , partition time , total time 
2,3452,728,728
4,4812,721,721
8,3536,696,696
16,3614,682,682
32,4051,666,666
64,4973,728,728
128,6088,779,779
256,7976,713,713

# dataset:out.dbpedia-location-swap.txt n:53412 m:172096
# p , k-1 , partition time , total time 
2,15229,414,414
4,20739,443,443
8,27524,457,457
16,31529,388,388
32,33879,433,433
64,37533,441,441
128,40385,437,437
256,42871,481,481

# dataset:out.github n:56524 m:120872
# p , k-1 , partition time , total time 
2,6476,616,616
4,13370,557,557
8,24767,578,578
16,39357,632,632
32,55903,727,727
64,73997,887,887
128,92969,1090,1090
256,114461,1255,1255

# dataset:out.github-swap.txt n:120872 m:56524
# p , k-1 , partition time , total time 
2,11039,816,816
4,19499,792,792
8,25697,784,784
16,34996,880,880
32,47850,929,929
64,62785,1035,1035
128,80082,1212,1212
256,98177,1379,1379

# dataset:out.actor-movie n:127828 m:383645
# p , k-1 , partition time , total time 
2,57628,2201,2201
4,116880,2497,2497
8,153890,2389,2389
16,200920,2402,2402
32,238510,2745,2745
64,307119,2911,2911
128,361980,2914,2914
256,444280,3175,3175

# dataset:out.actor-movie-swap.txt n:383645 m:127828
# p , k-1 , partition time , total time 
2,39250,2637,2637
4,67456,2862,2862
8,121984,3154,3154
16,190414,3188,3188
32,250507,3535,3535
64,299142,5282,5282
128,346903,4702,4702
256,403031,4372,4372

# dataset:out.dbpedia-team n:901171 m:34466
# p , k-1 , partition time , total time 
2,4939,4115,4115
4,15723,4598,4598
8,18468,4388,4388
16,27512,4854,4854
32,39176,5733,5733
64,56479,8938,8938
128,73319,14496,14496
256,94131,15068,15068

# dataset:out.dbpedia-team-swap.txt n:34466 m:901171
# p , k-1 , partition time , total time 
2,10522,1766,1766
4,25113,1853,1853
8,53854,1731,1731
16,83134,1616,1616
32,109162,1627,1627
64,123941,1652,1652
128,129759,1663,1663
256,157550,1588,1588

