# dataset:wiki_new.txt n:4571 m:4136
# p , k-1 , partition time , total time 
2,3030,109,109
4,7619,130,130
8,13653,190,190
16,19929,255,255
32,27438,462,462
64,35468,470,470
128,44676,587,587
256,55511,768,768

# dataset:wiki_new.txt-swap.txt n:4136 m:4571
# p , k-1 , partition time , total time 
2,3266,99,99
4,7969,102,102
8,14404,140,140
16,21878,177,177
32,30352,212,212
64,39851,289,289
128,50333,283,283
256,60416,461,461

# dataset:out.dbpedia-location n:172096 m:53412
# p , k-1 , partition time , total time 
2,3002,603,603
4,2921,617,617
8,3000,653,653
16,3613,657,657
32,4007,640,640
64,4652,640,640
128,6180,631,631
256,8032,710,710

# dataset:out.dbpedia-location-swap.txt n:53412 m:172096
# p , k-1 , partition time , total time 
2,7697,449,449
4,19248,441,442
8,26672,394,394
16,30667,310,310
32,34305,350,350
64,38673,415,415
128,42609,419,419
256,42747,393,393

# dataset:out.github n:56524 m:120872
# p , k-1 , partition time , total time 
2,3813,529,529
4,12230,595,595
8,24144,651,651
16,39248,710,710
32,56049,713,713
64,73747,874,874
128,93795,1045,1045
256,114752,1445,1445

# dataset:out.github-swap.txt n:120872 m:56524
# p , k-1 , partition time , total time 
2,11328,789,789
4,19867,758,758
8,25410,773,773
16,34944,783,783
32,47911,875,875
64,63025,997,997
128,80060,1182,1182
256,99047,1590,1590

# dataset:out.actor-movie n:127828 m:383645
# p , k-1 , partition time , total time 
2,52983,3426,3426
4,112773,4110,4110
8,154542,4488,4488
16,197347,4389,4389
32,238765,4292,4292
64,302248,4355,4355
128,361041,4233,4233
256,443435,4267,4267

# dataset:out.actor-movie-swap.txt n:383645 m:127828
# p , k-1 , partition time , total time 
2,37941,3746,3746
4,69982,3649,3649
8,122220,3716,3716
16,191784,4190,4190
32,250713,4010,4010
64,293545,4719,4719
128,353204,3647,3647
256,410413,4070,4070

# dataset:out.dbpedia-team n:901171 m:34466
# p , k-1 , partition time , total time 
2,9141,3297,3297
4,12516,3264,3264
8,18967,3287,3287
16,27592,3881,3881
32,39606,4645,4645
64,57152,6350,6350
128,73310,7538,7538
256,94369,9631,9631

# dataset:out.dbpedia-team-swap.txt n:34466 m:901171
# p , k-1 , partition time , total time 
2,9453,1485,1485
4,24536,1602,1602
8,53113,1439,1439
16,83226,1518,1518
32,110856,1548,1548
64,126094,1441,1441
128,133665,1483,1483
256,161306,1533,1533

