# dataset:wiki_new.txt n:4571 m:4136
# p , k-1 , partition time , total time 
2,2977,114,114
4,7460,133,133
8,13242,188,188
16,19518,258,258
32,27089,363,363
64,35032,487,487
128,44528,643,643
256,54880,862,862

# dataset:wiki_new.txt-swap.txt n:4136 m:4571
# p , k-1 , partition time , total time 
2,3247,99,99
4,7918,101,101
8,14021,129,129
16,21711,181,181
32,30099,225,225
64,39773,295,295
128,49505,380,380
256,60400,472,472

# dataset:out.dbpedia-location n:172096 m:53412
# p , k-1 , partition time , total time 
2,171,519,519
4,634,632,632
8,1432,586,586
16,2010,598,598
32,2467,650,650
64,3217,658,658
128,4486,631,631
256,6494,729,730

# dataset:out.dbpedia-location-swap.txt n:53412 m:172096
# p , k-1 , partition time , total time 
2,7703,420,420
4,19245,416,416
8,26328,397,397
16,31367,410,410
32,34073,433,433
64,37960,417,417
128,42019,416,416
256,42266,429,429

# dataset:out.github n:56524 m:120872
# p , k-1 , partition time , total time 
2,2023,612,612
4,11462,581,581
8,23355,563,563
16,37376,687,687
32,53900,778,778
64,71761,868,868
128,91238,1013,1013
256,112695,1307,1307

# dataset:out.github-swap.txt n:120872 m:56524
# p , k-1 , partition time , total time 
2,5955,696,696
4,17141,816,816
8,25027,673,673
16,33398,795,795
32,45412,922,922
64,59849,934,934
128,76692,1308,1308
256,95705,1458,1458

# dataset:out.actor-movie n:127828 m:383645
# p , k-1 , partition time , total time 
2,48687,2141,2141
4,106008,2266,2266
8,137352,2365,2365
16,183879,2549,2549
32,221070,2410,2410
64,290070,2690,2690
128,344673,2956,2956
256,424176,3260,3260

# dataset:out.actor-movie-swap.txt n:383645 m:127828
# p , k-1 , partition time , total time 
2,25168,2313,2313
4,66400,2531,2531
8,114249,2720,2720
16,176916,3097,3097
32,238277,3248,3248
64,282755,3351,3351
128,326586,3554,3555
256,391799,3841,3841

# dataset:out.dbpedia-team n:901171 m:34466
# p , k-1 , partition time , total time 
2,1970,3453,3453
4,5745,3818,3818
8,10100,4011,4011
16,24455,4655,4655
32,34840,6034,6034
64,48516,7973,7973
128,64194,10297,10297
256,83173,12601,12601

# dataset:out.dbpedia-team-swap.txt n:34466 m:901171
# p , k-1 , partition time , total time 
2,9514,1849,1849
4,25123,1965,1965
8,53193,1730,1730
16,82548,1725,1725
32,108037,1639,1639
64,129506,1678,1678
128,138174,1400,1401
256,163951,1368,1368

