# dataset:../data/wiki_new.txt n:4571 m:4136
# p , k-1 , partition time , total time 
2,3418,31,31
4,9149,33,33
8,17769,33,33
16,29997,37,37
32,45071,39,39
64,61602,42,42
128,76994,60,60
256,89817,74,74

# dataset:../data/wiki_new.txt-swap.txt n:4136 m:4571
# p , k-1 , partition time , total time 
2,4477,35,35
4,12819,35,35
8,26637,32,32
16,45197,46,46
32,65803,35,35
64,83416,72,72
128,96461,74,74
256,104670,39,39

# dataset:../data/out.dbpedia-location n:172096 m:53412
# p , k-1 , partition time , total time 
2,15218,248,248
4,32457,202,202
8,50918,257,257
16,70651,288,288
32,91352,265,265
64,112971,279,279
128,135396,284,284
256,157631,338,338

# dataset:../data/out.dbpedia-location-swap.txt n:53412 m:172096
# p , k-1 , partition time , total time 
2,53932,247,247
4,84425,239,239
8,101451,234,234
16,111316,261,261
32,116519,260,260
64,118109,241,241
128,119945,226,226
256,120719,250,250

# dataset:../data/out.github n:56524 m:120872
# p , k-1 , partition time , total time 
2,27665,279,279
4,57677,272,272
8,88998,282,282
16,122234,334,334
32,156771,346,346
64,191419,309,309
128,224521,311,311
256,252390,299,299

# dataset:../data/out.github-swap.txt n:120872 m:56524
# p , k-1 , partition time , total time 
2,26343,256,256
4,60877,274,274
8,104538,300,300
16,156060,306,306
32,210479,326,326
64,260460,337,337
128,303620,341,341
256,334986,367,367

# dataset:../data/out.actor-movie n:127828 m:383645
# p , k-1 , partition time , total time 
2,107831,881,881
4,239487,936,936
8,392218,1074,1074
16,555395,1152,1152
32,713475,1179,1179
64,846357,1294,1294
128,944270,1281,1281
256,1008171,1408,1408

# dataset:../data/out.actor-movie-swap.txt n:383645 m:127828
# p , k-1 , partition time , total time 
2,110384,926,926
4,285036,1007,1007
8,513743,1162,1162
16,758082,1319,1319
32,972452,1330,1330
64,1127188,1374,1374
128,1226062,1456,1457
256,1280742,1567,1567

# dataset:../data/out.dbpedia-team n:901171 m:34466
# p , k-1 , partition time , total time 
2,20749,939,939
4,51948,1121,1121
8,100250,1109,1109
16,173308,1316,1316
32,275916,1511,1511
64,411034,1478,1478
128,576980,1502,1502
256,760953,1593,1593

# dataset:../data/out.dbpedia-team-swap.txt n:34466 m:901171
# p , k-1 , partition time , total time 
2,93886,1075,1075
4,206961,1149,1149
8,307747,1220,1220
16,378822,1198,1198
32,418514,1204,1204
64,441162,1184,1184
128,452171,1093,1093
256,459598,1109,1109

# dataset:../data/out.dblp-author n:1953090 m:5624224
# p , k-1 , partition time , total time 
2,2098055,14977,14977
4,3877279,15586,15586
8,5091022,15825,15825
16,5817088,16450,16450
32,6220776,17144,17144
64,6430966,17311,17311
128,6544220,17812,17812
256,6600207,17342,17342

# dataset:../data/out.dblp-author-swap.txt n:5623936 m:1953090
# p , k-1 , partition time , total time 
2,1336077,14781,14781
4,2692120,15828,15828
8,4067773,17264,17264
16,5429112,18008,18008
32,6716509,19318,19318
64,7847266,25416,25416
128,8751243,19566,19566
256,9393039,20517,20517

# dataset:../data/out.orkut-groupmemberships n:2783201 m:8730862
# p , k-1 , partition time , total time 
2,5727746,247391,247391
4,13882078,250468,250468
8,24517911,313455,313455
16,37419334,389976,389976
32,52342604,374266,374266
64,69245400,428980,428980
128,88144690,319718,319718
256,109085680,290942,290942

# dataset:../data/out.orkut-groupmemberships-swap.txt n:8730862 m:2783201
# p , k-1 , partition time , total time 
2,2597818,204327,204327
4,7349944,214276,214276
8,15533959,221186,221186
16,28784320,241576,241576
32,49270933,273602,273602
64,79459338,250656,250656
128,120790389,264369,264369
256,171138940,274539,274539

# dataset:../data/out.trackers n:27665735 m:12756249
# p , k-1 , partition time , total time 
2,3656738,103483,103483
4,7711813,110298,110298
8,12073745,116815,116815
16,16758925,128877,128877
32,21496025,129728,129728
64,26273480,137500,137500
128,31087421,143876,143876
256,35683628,147468,147468

# dataset:../data/out.trackers-swap.txt n:12756249 m:27665735
# p , k-1 , partition time , total time 
2,14726843,117597,117597
4,31467542,126911,126911
8,44150391,130579,130579
16,58906630,133929,133929
32,67522864,138610,138610
64,75128933,135813,135813
128,82384703,135804,135804
256,87131326,138521,138521

