# dataset:../data/wiki_new.txt n:4571 m:4136
# p , k-1 , partition time , total time 
2,3030,68,68
4,7619,85,85
8,13653,119,119
16,19929,170,170
32,27438,245,245

# dataset:../data/wiki_new.txt-swap.txt n:4136 m:4571
# p , k-1 , partition time , total time 
2,3266,62,62
4,7969,71,71
8,14404,90,90
16,21878,101,101
32,30352,123,123

# dataset:../data/out.dbpedia-location n:172096 m:53412
# p , k-1 , partition time , total time 
2,3002,275,275
4,2921,277,277
8,3000,281,281
16,3613,290,290
32,4007,296,296

# dataset:../data/out.dbpedia-location-swap.txt n:53412 m:172096
# p , k-1 , partition time , total time 
2,7697,199,199
4,19248,198,198
8,26672,196,196
16,30667,195,195
32,34305,197,197

# dataset:../data/out.github n:56524 m:120872
# p , k-1 , partition time , total time 
2,3813,278,278
4,12230,281,281
8,24144,295,295
16,39248,319,319
32,56049,362,362

# dataset:../data/out.github-swap.txt n:120872 m:56524
# p , k-1 , partition time , total time 
2,11328,330,330
4,19867,349,349
8,25410,346,346
16,34944,368,368
32,47911,408,408

# dataset:../data/out.actor-movie n:127828 m:383645
# p , k-1 , partition time , total time 
2,52983,1004,1004
4,112773,1070,1070
8,154542,1138,1138
16,197347,1211,1211
32,238765,1295,1295

# dataset:../data/out.actor-movie-swap.txt n:383645 m:127828
# p , k-1 , partition time , total time 
2,37941,1156,1156
4,69982,1165,1165
8,122220,1270,1270
16,191784,1421,1421
32,250713,1591,1591

# dataset:../data/out.dbpedia-team n:901171 m:34466
# p , k-1 , partition time , total time 
2,9141,1661,1661
4,12516,1763,1763
8,18967,1737,1737
16,27592,2041,2041
32,39606,2428,2428

# dataset:../data/out.dbpedia-team-swap.txt n:34466 m:901171
# p , k-1 , partition time , total time 
2,9453,829,829
4,24536,834,834
8,53113,849,849
16,83226,861,861
32,110856,849,849

# dataset:../data/out.dblp-author n:1953090 m:5624224
# p , k-1 , partition time , total time 
2,455340,14724,14724
4,932162,14665,14665
8,1406026,14495,14495
16,1889999,14184,14184
32,2274883,13862,13862

# dataset:../data/out.dblp-author-swap.txt n:5623936 m:1953090
# p , k-1 , partition time , total time 
2,712231,20301,20301
4,986676,21579,21579
8,1109320,22909,22909
16,1304100,23984,23984
32,1489922,23511,23511

# dataset:../data/out.orkut-groupmemberships n:2783201 m:8730862
# p , k-1 , partition time , total time 
2,1439981,336151,336151
4,5659010,386047,386047
8,12270938,514436,514436
16,20462463,746544,746544
32,29984676,1173056,1173056

# dataset:../data/out.orkut-groupmemberships-swap.txt n:8730862 m:2783201
# p , k-1 , partition time , total time 
2,1277990,328245,328245
4,3282748,356158,356158
8,5917134,402891,402891
16,9661962,501745,501745
32,14599328,656123,656123

# dataset:../data/out.trackers n:27665735 m:12756249
# p , k-1 , partition time , total time 
2,428212,204054,204054
4,1100511,237408,237408
8,1818414,301481,301481
16,2631359,424019,424019
32,3501279,658903,658903

# dataset:../data/out.trackers-swap.txt n:12756249 m:27665735
# p , k-1 , partition time , total time 
2,121365,136137,136137
4,1653000,138066,138066
8,2712872,139442,139442
16,3848010,142952,142952
32,5207822,149824,149824

# dataset:../data/wiki_new.txt n:4571 m:4136
# p , k-1 , partition time , total time 
2,2860,92,92
4,7023,97,97
8,13356,127,127
16,19950,176,176
32,27880,251,251

# dataset:../data/wiki_new.txt-swap.txt n:4136 m:4571
# p , k-1 , partition time , total time 
2,3047,80,80
4,7887,79,79
8,14493,94,94
16,21851,121,121
32,30176,157,157

# dataset:../data/out.dbpedia-location n:172096 m:53412
# p , k-1 , partition time , total time 
2,3452,398,398
4,4812,407,407
8,3536,415,415
16,3614,427,427
32,4051,438,438

# dataset:../data/out.dbpedia-location-swap.txt n:53412 m:172096
# p , k-1 , partition time , total time 
2,15229,215,215
4,20739,223,223
8,27524,217,217
16,31529,218,218
32,33879,221,221

# dataset:../data/out.github n:56524 m:120872
# p , k-1 , partition time , total time 
2,6476,314,314
4,13370,300,300
8,24767,309,309
16,39357,335,335
