# dataset:../data/out.github n:56524 m:120872
# p , k-1 , partition time , total time 
2,2023,375,375
4,11462,378,378
8,23355,398,398
16,37376,353,353
32,53900,394,394
64,71761,473,473
128,91238,582,582
256,112695,718,718

# dataset:../data/out.github-swap.txt n:120872 m:56524
# p , k-1 , partition time , total time 
2,5955,373,373
4,17141,377,377
8,25027,391,391
16,33398,419,419
32,45412,461,461
64,59849,527,527
128,76692,627,627
256,95705,729,729

# dataset:../data/out.actor-movie n:127828 m:383645
# p , k-1 , partition time , total time 
2,48687,1076,1076
4,106008,1134,1134
8,137352,1206,1206
16,183879,1286,1286
32,221070,1351,1351
64,290070,1493,1493
128,344673,1608,1608
256,424176,2010,2010

# dataset:../data/out.actor-movie-swap.txt n:383645 m:127828
# p , k-1 , partition time , total time 
2,25168,1501,1501
4,66400,1287,1287
8,114249,1396,1396
16,176916,1534,1534
32,238277,1684,1684
64,282755,1779,1779
128,326586,1887,1887
256,391799,2036,2036

# dataset:../data/out.dblp-author n:1953090 m:5624224
# p , k-1 , partition time , total time 
2,406502,15773,15773
4,906969,15859,15859
8,1381858,17803,17803
16,1872469,15800,15800
32,2250426,15478,15478
64,2495522,15050,15050
128,2649175,14418,14418
256,2737996,13774,13774

# dataset:../data/out.dblp-author-swap.txt n:5623936 m:1953090
# p , k-1 , partition time , total time 
2,300869,22643,22643
4,981245,23935,23935
8,913575,24782,24782
16,1046098,25903,25903
32,1186135,26804,26804
64,1330589,25003,25003
128,1468865,23285,23285
256,1581055,23458,23458

# dataset:../data/reuters.txt n:781270 m:283916
# p , k-1 , partition time , total time 
2,80571,51387,51387
4,209929,70335,70335
8,400965,110534,110534
16,654659,224971,224971
32,971194,412637,412637
64,1364821,788707,788707
128,1855003,1527141,1527141
256,2493191,2825742,2825742

# dataset:../data/reuters-swap.txt n:283916 m:781270
# p , k-1 , partition time , total time 
2,106202,36486,36486
4,252079,39012,39012
8,535730,40582,40582
16,979594,38583,38583
32,1627826,40542,40542
64,2560946,45497,45497
128,3855991,54893,54893
256,5613242,71679,71679

# dataset:../data/out.trackers n:27665735 m:12756249
# p , k-1 , partition time , total time 
2,3572,223761,223761
4,615309,253162,253162
8,1207529,325716,325716
16,1906030,468041,468041
32,2748257,750811,750811
64,3723073,1317197,1317197
128,4802678,2427842,2427842
256,5961544,4667716,4667716

# dataset:../data/out.trackers-swap.txt n:12756249 m:27665735
# p , k-1 , partition time , total time 
2,36615,172530,172530
4,1314434,177152,177152
8,2565179,186770,186770
16,3726530,201287,201287
32,5027432,231421,231421
64,6584225,285076,285076
128,8327106,394862,394862
256,10237304,595488,595488

# dataset:../data/out.orkut-groupmemberships n:2783201 m:8730862
# p , k-1 , partition time , total time 
2,1282553,410742,410742
4,5349825,484691,484691
8,11724712,656031,656031
16,19897207,919769,919769
32,28434809,1415519,1415519
64,37762744,2285579,2285579
128,47441526,3567534,3567534
256,57852026,6540275,6540275

# dataset:../data/out.orkut-groupmemberships-swap.txt n:8730862 m:2783201
# p , k-1 , partition time , total time 
2,1227493,364811,364811
4,3015009,396169,396169
8,5677452,447992,447992
16,9223655,553954,553954
32,13916285,730412,730412
64,19503372,984710,984710
128,26251443,1369079,1369079
256,34237272,1963880,1963880

# dataset:../data/enwiki.txt n:8116902 m:42640550
# p , k-1 , partition time , total time 
2,937530,429451,429451
4,1960657,434503,434503
8,3397636,443902,443902
16,5269430,478837,478837
32,7660649,513081,513081
64,10756233,604376,604376
128,14851607,696274,696274
256,20443465,879770,879770

# dataset:../data/enwiki-swap.txt n:42640550 m:8116902
# p , k-1 , partition time , total time 
2,19025,558530,558530
4,765685,620681,620681
8,1540402,750430,750430
16,2573854,1007046,1007046
32,3983209,1536842,1536842
64,5784262,2523775,2523775
128,8024371,4325990,4325990
256,10799035,7943438,7943438

