
# MIN-MAX  - dataset:out.dblp-author n:1953085 m:5624219
# p , k-1 ,  total time 
2,944323, ,46714
4,1741509, ,70449
8,2267524, ,104668
16,2660086, ,181784
32,2905465, ,332504
64,3004063, ,606847
128,3152952, ,1079358
256,3235319, ,1906601

# MIN-MAX  - dataset:out.orkut-groupmemberships n:2783196 m:8730857
# p , k-1 ,  total time 
2,4774389, ,834871
4,9016795, ,1347911
8,12899016, ,2371818
16,19920582, ,4444555
32,27615069, ,9034704
64,37737916, ,14590562
128,49254575, ,26884218
256,62378745, ,53238263

# MIN-MAX  - dataset:enwiki.txt n:8116897 m:42640545
# p , k-1 ,  total time 
2,9284999, ,1178019
4,14488556, ,1722660
8,18920623, ,2868549
16,38955439, ,4238854
32,59456031, ,7006816
64,80443110, ,12760197
128,101886081, ,22669990
256,122970041, ,38519659
